"","INTERFACENAAM","BEDRIJFSONDERDEEL","RAPPORTAGEJAAR","RAPPORTAGEMAAND","CALCULATIEDATUM","VERSIENUMMER","SECURITY_ID","SECURITY_TYPE","S2_SCR_TYPE","CIC_CODE","SECTOR_LEVEL_2","SECTOR_LEVEL_3","SECTOR_LEVEL_4","ISIN","SECURITY_NAME","ISSUER_NAME","ISSUER_ID","COUNTRY","COUNTRY_OF_RISK","EEA","OECD","PORTFOLIO_GROUP","PORTEFEUILLE","IFRS_ACCOUNT","IFRS_BEDRIJFSNUMMER","IFRS_INTENT","COLLATERAL_POOL_ID","FONDS_CODE_IC_LENING_TEGENPARTIJ","FONDS_CODE_GEHEDGEDE_SECURITY","DOEL_HEDGE","FAIR_VALUE_EUR","OPG_RENTE_EUR","KP_OORSP_EUR","AMORT_COST_EUR","BOEKWAARDE","IMPAIRMENT","IMPAIRMENT_CORRECTIE","VALUTA","WISSELKOERS","AANTAL","KOERS","POOL_FACTOR","DEELNEMINGSFACTOR","NOMINAAL_EUR","SPAARGELDEN_BIJ_LENINGDEEL","SPAARGELDEN","COUPON_TYPE","REDEMPTION_TYPE","PREV_COUPON_DATE","NEXT_COUPON_DATE","NEXT_INTEREST_RESET_DATE","MATURITY_DATE","COUPON","COUPON_FREQUENTIE","BB_TICKER_ONDERLIGGENDE_RATE","SPREAD_OVER_ONDERLIGGENDE","WAL","PREPAYMENT_RATE","ORIGINELE_SPREAD","YIELD_TO_MATURITY","LEG","EXPIRY_DATE","TENOR","IMPLIED_VOL","STRIKE","WAARDE_ONDERLIGGENDE","BB_TICKER_ONDERLIGGENDE","SUB_INDELING_RISK","MODIFIED_DURATION_YTM","MACAULAY_DURATION_YTM","CONVEXITY_YTM","SCR_RENTE_DOWN","SCR_RENTE_UP","OVERHEIDSGEGARANDEERD","VRIJGESTELD","SPREAD_DURATION","GEM_SNP_RATING","GEM_MOODYS_RATING","GEM_FITCH_RATING","SCR_SPREAD","RISK_ULTIMATE_PARENT","SENIORITY","QUOTED","STRATEGIC_PARTICIPATION","SCR_AANDELEN","AANTAL_MAANDEN_ACHTERSTAND","WAARDE_ONDERPAND","NHG","LENINGNUMMER","LENINGDEELNUMMER","STARTDATUM_LENING","INITIELE_HOOFSOM","POSTCODE_ONDERPAND","TAXATIEDATUM_ONDERPAND","INKOMEN_HYPOTHEEKNEMER","PROGRAMMA_CODE","RATING_2ND_BEST","S2_CATEGORIE","INSTRUMENT_TYPE","ECB_LABEL","ISSUEDATE","COUPONTERMLENGTH","COUPONTERMUNIT","FIRSTCOUPONFROM","JUR_CON_COUNTERPARTY","TYPE_ZEKERHEID_COUNTERPARTY","JUR_CON_CUSTODIAN","GROEP_NAAM","GROEP","RATING_2ND_BEST_GROEP","CALL_DATE","NMR_RUN","DAT_REG_GSA"
"72","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"REAL EIGEN","REALNMB","05101001",5030,"AFS",NA,NA,NA,0,4029675,33245.9,4207281,4020541.68,4029675,0,0,"EUR",1,3900000,103.325,1,NA,3900000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","LONG DUR",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"5465","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"AXA EIGEN","WTLEVPS","05101001",5030,"AFS",NA,NA,NA,0,3208241.25,26468.85,3393581.5,3192679.95,3208241.25,0,0,"EUR",1,3105000,103.325,1,NA,3105000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOVEREIGN",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"5466","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"AXA EIGEN","WTLEVPS","05101001",5030,"AFS","BARCL_IA_REAAL",NA,NA,0,21693083.75,178973.77,22946294.2,21587863.31,21693083.75,0,0,"EUR",1,20995000,103.325,1,NA,20995000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOVEREIGN",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,"Barclays PLC","BBG001FDY6F5","BBB",NA,996,"2015-10-09 13:22:30"
"5496","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"DBV EIGEN","DBVVARB","05101001",5030,"AFS",NA,NA,NA,0,516625,4262.3,519161.15,502451.48,516625,0,0,"EUR",1,5e+05,103.325,1,NA,5e+05,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOVEREIGN",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"5602","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"REAL EIGEN","REALBULEVP","05101001",5030,"AFS",NA,NA,NA,0,1467215,12104.92,1538750.86,1462760.89,1467215,0,0,"EUR",1,1420000,103.325,1,NA,1420000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOV/SUPRA",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"5603","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"REAL EIGEN","REALBULEVP","05101001",5030,"AFS","MUNICH RE_REAAL",NA,NA,0,9547230,78767.21,10012716.89,9518246.92,9547230,0,0,"EUR",1,9240000,103.325,1,NA,9240000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOV/SUPRA",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,"Muenchener Rueckversicherungs-Ge","BBG001FFJ4L5","AA-",NA,996,"2015-10-09 13:22:30"
"11297","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"REAL EIGEN","REALBULEV","05101001",5030,"AFS","MUNICH RE_REAAL",NA,NA,0,2893100,23868.85,3044690.67,2882408.28,2893100,0,0,"EUR",1,2800000,103.325,1,NA,2800000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOV/SUPRA",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,"Muenchener Rueckversicherungs-Ge","BBG001FFJ4L5","AA-",NA,996,"2015-10-09 13:22:30"
"16247","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"REAS EIGEN","REASCHAD","05101001",5070,"AFS",NA,NA,NA,0,57758675,476524.59,60311907.5,57630669.8,57758675,0,0,"EUR",1,55900000,103.325,1,NA,55900000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOV/SUPRA",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"16289","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"DBV EIGEN","DBVFLEX","05101001",5030,"AFS",NA,NA,NA,0,1849517.5,15259.02,1811035.58,1793064.88,1849517.5,0,0,"EUR",1,1790000,103.325,1,NA,1790000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOVEREIGN",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
"21870","Assets","Securities",2015,9,20150930,1,"NL0000102283","BOND",0,"NL11","SOVEREIGNS","NETHERLANDS","NETHERLANDS","NL0000102283","NEDERLAND_4%_15072016","Netherlands Government Bond","BBG001FNKJ06","NL","NL",1,1,"DBV EIGEN","DBVVARA","05101001",5030,"AFS",NA,NA,NA,0,485627.5,4006.56,490688.05,472618.61,485627.5,0,0,"EUR",1,470000,103.325,1,NA,470000,NA,NA,"Fixed","Bullet",20150715,20160715,20160715,20160715,4,1,NA,0,0.7903,NA,999,-0.2022427,0,NA,0,0,0,0,"Todo","SOVEREIGN",0.7919,0.7903,0.0142,0,0,1,0,0,"NR","Aaa","AAA",0,"Kingdom of the Netherlands","SEN",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAA","Obligaties","Bond","Todo",20060717,1,"Years",20060717,NA,NA,NA,NA,NA,NA,NA,996,"2015-10-09 13:22:30"
