"","INTERFACENAAM","BEDRIJFSONDERDEEL","RAPPORTAGEJAAR","RAPPORTAGEMAAND","CALCULATIEDATUM","VERSIENUMMER","SECURITY_ID","SECURITY_TYPE","S2_SCR_TYPE","CIC_CODE","SECTOR_LEVEL_2","SECTOR_LEVEL_3","SECTOR_LEVEL_4","ISIN","SECURITY_NAME","ISSUER_NAME","ISSUER_ID","COUNTRY","COUNTRY_OF_RISK","EEA","OECD","PORTFOLIO_GROUP","PORTEFEUILLE","IFRS_ACCOUNT","IFRS_BEDRIJFSNUMMER","IFRS_INTENT","COLLATERAL_POOL_ID","FONDS_CODE_IC_LENING_TEGENPARTIJ","FONDS_CODE_GEHEDGEDE_SECURITY","DOEL_HEDGE","FAIR_VALUE_EUR","OPG_RENTE_EUR","KP_OORSP_EUR","AMORT_COST_EUR","BOEKWAARDE","IMPAIRMENT","IMPAIRMENT_CORRECTIE","VALUTA","WISSELKOERS","AANTAL","KOERS","POOL_FACTOR","DEELNEMINGSFACTOR","NOMINAAL_EUR","SPAARGELDEN_BIJ_LENINGDEEL","SPAARGELDEN","COUPON_TYPE","REDEMPTION_TYPE","PREV_COUPON_DATE","NEXT_COUPON_DATE","NEXT_INTEREST_RESET_DATE","MATURITY_DATE","COUPON","COUPON_FREQUENTIE","BB_TICKER_ONDERLIGGENDE_RATE","SPREAD_OVER_ONDERLIGGENDE","WAL","PREPAYMENT_RATE","ORIGINELE_SPREAD","YIELD_TO_MATURITY","LEG","EXPIRY_DATE","TENOR","IMPLIED_VOL","STRIKE","WAARDE_ONDERLIGGENDE","BB_TICKER_ONDERLIGGENDE","SUB_INDELING_RISK","MODIFIED_DURATION_YTM","MACAULAY_DURATION_YTM","CONVEXITY_YTM","SCR_RENTE_DOWN","SCR_RENTE_UP","OVERHEIDSGEGARANDEERD","VRIJGESTELD","SPREAD_DURATION","GEM_SNP_RATING","GEM_MOODYS_RATING","GEM_FITCH_RATING","SCR_SPREAD","RISK_ULTIMATE_PARENT","SENIORITY","QUOTED","STRATEGIC_PARTICIPATION","SCR_AANDELEN","AANTAL_MAANDEN_ACHTERSTAND","WAARDE_ONDERPAND","NHG","LENINGNUMMER","LENINGDEELNUMMER","STARTDATUM_LENING","INITIELE_HOOFSOM","POSTCODE_ONDERPAND","TAXATIEDATUM_ONDERPAND","INKOMEN_HYPOTHEEKNEMER","PROGRAMMA_CODE","RATING_2ND_BEST","S2_CATEGORIE","INSTRUMENT_TYPE","ECB_LABEL","ISSUEDATE","COUPONTERMLENGTH","COUPONTERMUNIT","FIRSTCOUPONFROM","JUR_CON_COUNTERPARTY","TYPE_ZEKERHEID_COUNTERPARTY","JUR_CON_CUSTODIAN","GROEP_NAAM","GROEP","RATING_2ND_BEST_GROEP","CALL_DATE","NMR_RUN","DAT_REG_GSA","dir"
"39","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS15","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS15_PAY_3.5_20170724_20370726","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEV","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,163723.81,0,2200000,0,163723.81,0,0,"EUR",1,1,0.4449017,1,NA,36800000,NA,NA,NA,NA,NA,NA,20170724,20170724,0,1,NA,0,0,NA,999,0,0,20170724,20.02,34.7076756,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170726,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"119","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS21","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS21_PAY_6.5_20270726_20420728","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEV","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,-359815.72,0,-885600,0,-359815.72,0,0,"EUR",1,1,0.8995393,1,NA,-4e+07,NA,NA,NA,NA,NA,NA,20270726,20270726,0,1,NA,0,0,NA,999,0,0,20270726,15.02,23.528982,6.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20270728,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"120","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS25","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS25_PAY_6.5_20270726_20420728","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEV","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,-327432.31,0,-776000,0,-327432.31,0,0,"EUR",1,1,0.8995393,1,NA,-36400000,NA,NA,NA,NA,NA,NA,20270726,20270726,0,1,NA,0,0,NA,999,0,0,20270726,15.02,23.528982,6.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20270728,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"121","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS27","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS27_PAY_4.5_20220729_20290802","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEV","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,640535.52,0,1585000,0,640535.52,0,0,"EUR",1,1,1.0675592,1,NA,6e+07,NA,NA,NA,NA,NA,NA,20220729,20220729,0,1,NA,0,0,NA,999,0,0,20220729,7.02,29.6572737,4.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20220802,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"122","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS31","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS31_PAY_4.5_20220729_20290802","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEV","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,1383556.72,0,3474000,0,1383556.72,0,0,"EUR",1,1,1.0675592,1,NA,129600000,NA,NA,NA,NA,NA,NA,20220729,20220729,0,1,NA,0,0,NA,999,0,0,20220729,7.02,29.6572737,4.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20220802,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"5500","Assets","Securities",2015,9,20150930,1,"SWAPTION_DB71","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_DB71_PAY_3.15_20160815_20360817","Deutsche Bank AG","DEUTSCHE BNK OTC","DE","DE",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","DB_OTC_REAAL",NA,NA,2,39440.3,0,350000,0,39440.3,0,0,"EUR",1,1,0.1577612,1,NA,2.5e+07,NA,NA,NA,NA,NA,NA,20160815,20160815,0,1,NA,0,0,NA,999,0,0,20160815,20.02,39.3760187,3.15,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Deutsche Bank AG","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20160817,NA,NA,NA,"Deutsche Bank AG","BBG001FFFZP6","A-",NA,996,"2015-10-09 13:22:30","PAY"
"5501","Assets","Securities",2015,9,20150930,1,"SWAPTION_DB73","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_DB73_PAY_3.05_20161114_20361116","Deutsche Bank AG","DEUTSCHE BNK OTC","DE","DE",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","DB_OTC_REAAL",NA,NA,2,272959.1,0,1515000,0,272959.1,0,0,"EUR",1,1,0.3639455,1,NA,7.5e+07,NA,NA,NA,NA,NA,NA,20161114,20161114,0,1,NA,0,0,NA,999,0,0,20161114,20.02,38.5063036,3.05,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Deutsche Bank AG","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20161116,NA,NA,NA,"Deutsche Bank AG","BBG001FFFZP6","A-",NA,996,"2015-10-09 13:22:30","PAY"
"5502","Assets","Securities",2015,9,20150930,1,"SWAPTION_DB75","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_DB75_PAY_3.5_20170301_20270303","Deutsche Bank AG","DEUTSCHE BNK OTC","DE","DE",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","DB_OTC_REAAL",NA,NA,2,245528.09,0,437500,0,245528.09,0,0,"EUR",1,1,0.0982112,1,NA,2.5e+08,NA,NA,NA,NA,NA,NA,20170301,20170301,0,1,NA,0,0,NA,999,0,0,20170301,10.01,44.2511453,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Deutsche Bank AG","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170303,NA,NA,NA,"Deutsche Bank AG","BBG001FFFZP6","A-",NA,996,"2015-10-09 13:22:30","PAY"
"5503","Assets","Securities",2015,9,20150930,1,"SWAPTION_DB77","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_DB77_PAY_3.5_20170307_20270309","Deutsche Bank AG","DEUTSCHE BNK OTC","DE","DE",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","DB_OTC_REAAL",NA,NA,2,254028.79,0,437500,0,254028.79,0,0,"EUR",1,1,0.1016115,1,NA,2.5e+08,NA,NA,NA,NA,NA,NA,20170307,20170307,0,1,NA,0,0,NA,999,0,0,20170307,10.01,44.1332084,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Deutsche Bank AG","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170309,NA,NA,NA,"Deutsche Bank AG","BBG001FFFZP6","A-",NA,996,"2015-10-09 13:22:30","PAY"
"5504","Assets","Securities",2015,9,20150930,1,"SWAPTION_DB79","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_DB79_PAY_3.5_20170308_20270310","Deutsche Bank AG","DEUTSCHE BNK OTC","DE","DE",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","DB_OTC_REAAL",NA,NA,2,51091.26,0,87500,0,51091.26,0,0,"EUR",1,1,0.1021825,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20170308,20170308,0,1,NA,0,0,NA,999,0,0,20170308,10.01,44.1135599,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Deutsche Bank AG","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170310,NA,NA,NA,"Deutsche Bank AG","BBG001FFFZP6","A-",NA,996,"2015-10-09 13:22:30","PAY"
