Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time
EUR-DSCON-OIS,EONIA 3M,OG-Ticker,EUSWEC CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M
EUR-DSCON-OIS,EONIA 1Y,OG-Ticker,EUSWE1 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y
EUR-DSCON-OIS,EONIA 2Y,OG-Ticker,EUSWE2 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y
EUR-DSCON-OIS,EONIA 3Y,OG-Ticker,EUSWE3 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y
EUR-DSCON-OIS,EONIA 4Y,OG-Ticker,EUSWE4 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y
EUR-DSCON-OIS,EONIA 5Y,OG-Ticker,EUSWE5 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y
EUR-DSCON-OIS,EONIA 6Y,OG-Ticker,EUSWE6 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y
EUR-DSCON-OIS,EONIA 7Y,OG-Ticker,EUSWE7 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y
EUR-DSCON-OIS,EONIA 8Y,OG-Ticker,EUSWE8 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y
EUR-DSCON-OIS,EONIA 9Y,OG-Ticker,EUSWE9 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y
EUR-DSCON-OIS,EONIA 10Y,OG-Ticker,EUSWE10 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y
EUR-DSCON-OIS,EONIA 12Y,OG-Ticker,EUSWE12 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,12Y
EUR-DSCON-OIS,EONIA 15Y,OG-Ticker,EUSWE15 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y
EUR-DSCON-OIS,EONIA 20Y,OG-Ticker,EUSWE20 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y
EUR-DSCON-OIS,EONIA 30Y,OG-Ticker,EUSWE30 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y
EUR-EURIBOR6M-IRS,SWAP 3M,OG-Ticker,EUR003M CMPL Index,MarketValue,DEP,EUR-FIXED-1Y-EURIBOR-6M,3M
EUR-EURIBOR6M-IRS,SWAP 1Y,OG-Ticker,EUSA1 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,1Y
EUR-EURIBOR6M-IRS,SWAP 2Y,OG-Ticker,EUSA2 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y
EUR-EURIBOR6M-IRS,SWAP 3Y,OG-Ticker,EUSA3 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y
EUR-EURIBOR6M-IRS,SWAP 4Y,OG-Ticker,EUSA4 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,4Y
EUR-EURIBOR6M-IRS,SWAP 5Y,OG-Ticker,EUSA5 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y
EUR-EURIBOR6M-IRS,SWAP 6Y,OG-Ticker,EUSA6 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,6Y
EUR-EURIBOR6M-IRS,SWAP 7Y,OG-Ticker,EUSA7 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7Y
EUR-EURIBOR6M-IRS,SWAP 8Y,OG-Ticker,EUSA8 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8Y
EUR-EURIBOR6M-IRS,SWAP 9Y,OG-Ticker,EUSA9 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9Y
EUR-EURIBOR6M-IRS,SWAP 10Y,OG-Ticker,EUSA10 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y
EUR-EURIBOR6M-IRS,SWAP 11Y,OG-Ticker,EUSA11 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11Y
EUR-EURIBOR6M-IRS,SWAP 12Y,OG-Ticker,EUSA12 CMPL Curncy,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,12Y
