Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time
EUR-DSC,OIS-1W,OG-Ticker,EUSWE1Z CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1W
EUR-DSC,OIS-2W,OG-Ticker,EUSWE2Z CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2W
EUR-DSC,OIS-1M,OG-Ticker,EUSWEA CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M
EUR-DSC,OIS-2M,OG-Ticker,EUSWEB CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M
EUR-DSC,OIS-3M,OG-Ticker,EUSWEC CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M
EUR-DSC,OIS-4M,OG-Ticker,EUSWED CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4M
EUR-DSC,OIS-5M,OG-Ticker,EUSWEE CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5M
EUR-DSC,OIS-6M,OG-Ticker,EUSWEF CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M
EUR-DSC,OIS-7M,OG-Ticker,EUSWEG CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7M
EUR-DSC,OIS-8M,OG-Ticker,EUSWEH CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8M
EUR-DSC,OIS-9M,OG-Ticker,EUSWEI CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9M
EUR-DSC,OIS-10M,OG-Ticker,EUSWEJ CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10M
EUR-DSC,OIS-11M,OG-Ticker,EUSWEK CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11M
EUR-DSC,OIS-1Y,OG-Ticker,EUSWE1 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y
EUR-DSC,OIS-18M,OG-Ticker,EUSWE1F CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,18M
EUR-DSC,OIS-2Y,OG-Ticker,EUSWE2 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y
EUR-DSC,OIS-30M,OG-Ticker,EUSWE2F CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30M
EUR-DSC,OIS-3Y,OG-Ticker,EUSWE3 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y
EUR-DSC,OIS-4Y,OG-Ticker,EUSWE4 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y
EUR-DSC,OIS-5Y,OG-Ticker,EUSWE5 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y
EUR-DSC,OIS-6Y,OG-Ticker,EUSWE6 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y
EUR-DSC,OIS-7Y,OG-Ticker,EUSWE7 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y
EUR-DSC,OIS-8Y,OG-Ticker,EUSWE8 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y
EUR-DSC,OIS-9Y,OG-Ticker,EUSWE9 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y
EUR-DSC,OIS-10Y,OG-Ticker,EUSWE10 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y
EUR-DSC,OIS-11Y,OG-Ticker,EUSWE11 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11Y
EUR-DSC,OIS-12Y,OG-Ticker,EUSWE12 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,12Y
EUR-DSC,OIS-13Y,OG-Ticker,EUSWE13 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,13Y
EUR-DSC,OIS-14Y,OG-Ticker,EUSWE14 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,14Y
EUR-DSC,OIS-15Y,OG-Ticker,EUSWE15 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y
EUR-DSC,OIS-20Y,OG-Ticker,EUSWE20 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y
EUR-DSC,OIS-25Y,OG-Ticker,EUSWE25 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,25Y
EUR-DSC,OIS-30Y,OG-Ticker,EUSWE30 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y
EUR-DSC,OIS-35Y,OG-Ticker,EUSWE35 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,35Y
EUR-DSC,OIS-40Y,OG-Ticker,EUSWE40 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,40Y
EUR-DSC,OIS-50Y,OG-Ticker,EUSWE50 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,50Y
EUR-EURIBOR6M,IRS-7M,OG-Ticker,EUSWG CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7M
EUR-EURIBOR6M,IRS-8M,OG-Ticker,EUSWH CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8M
EUR-EURIBOR6M,IRS-9M,OG-Ticker,EUSWI CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9M
EUR-EURIBOR6M,IRS-10M,OG-Ticker,EUSWJ CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10M
EUR-EURIBOR6M,IRS-11M,OG-Ticker,EUSWK CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11M
EUR-EURIBOR6M,IRS-1Y,OG-Ticker,EUSA1 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,1Y
EUR-EURIBOR6M,IRS-18M,OG-Ticker,EUSA1F CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,18M
EUR-EURIBOR6M,IRS-2Y,OG-Ticker,EUSA2 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y
EUR-EURIBOR6M,IRS-3Y,OG-Ticker,EUSA3 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y
EUR-EURIBOR6M,IRS-4Y,OG-Ticker,EUSA4 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,4Y
EUR-EURIBOR6M,IRS-5Y,OG-Ticker,EUSA5 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y
EUR-EURIBOR6M,IRS-6Y,OG-Ticker,EUSA6 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,6Y
EUR-EURIBOR6M,IRS-7Y,OG-Ticker,EUSA7 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7Y
EUR-EURIBOR6M,IRS-8Y,OG-Ticker,EUSA8 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8Y
EUR-EURIBOR6M,IRS-9Y,OG-Ticker,EUSA9 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9Y
EUR-EURIBOR6M,IRS-10Y,OG-Ticker,EUSA10 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y
EUR-EURIBOR6M,IRS-11Y,OG-Ticker,EUSA11 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11Y
EUR-EURIBOR6M,IRS-12Y,OG-Ticker,EUSA12 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,12Y
EUR-EURIBOR6M,IRS-15Y,OG-Ticker,EUSA15 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,15Y
EUR-EURIBOR6M,IRS-20Y,OG-Ticker,EUSA20 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,20Y
EUR-EURIBOR6M,IRS-25Y,OG-Ticker,EUSA25 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,25Y
EUR-EURIBOR6M,IRS-30Y,OG-Ticker,EUSA30 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,30Y
EUR-EURIBOR6M,IRS-35Y,OG-Ticker,EUSA35 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,35Y
EUR-EURIBOR6M,IRS-40Y,OG-Ticker,EUSA40 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,40Y
EUR-EURIBOR6M,IRS-45Y,OG-Ticker,EUSA45 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,45Y
EUR-EURIBOR6M,IRS-50Y,OG-Ticker,EUSA50 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,50Y
USD-DSC,OIS-1W,OG-Ticker,USSO1Z CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1W
USD-DSC,OIS-2W,OG-Ticker,USSO2Z CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2W
USD-DSC,OIS-3W,OG-Ticker,USSO3Z CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3W
USD-DSC,OIS-1M,OG-Ticker,USSOA CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M
USD-DSC,OIS-2M,OG-Ticker,USSOB CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M
USD-DSC,OIS-3M,OG-Ticker,USSOC CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M
USD-DSC,OIS-4M,OG-Ticker,USSOD CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,4M
USD-DSC,OIS-5M,OG-Ticker,USSOE CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,5M
USD-DSC,OIS-6M,OG-Ticker,USSOF CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M
USD-DSC,OIS-9M,OG-Ticker,USSOI CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M
USD-DSC,OIS-1Y,OG-Ticker,USSO1 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1Y
USD-DSC,OIS-18M,OG-Ticker,USSO1F CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,18M
USD-DSC,OIS-2Y,OG-Ticker,USSO2 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2Y
USD-DSC,OIS-3Y,OG-Ticker,USSO3 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3Y
USD-DSC,OIS-4Y,OG-Ticker,USSO4 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,4Y
USD-DSC,OIS-5Y,OG-Ticker,USSO5 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,5Y
USD-DSC,OIS-6Y,OG-Ticker,USSO6 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6Y
USD-DSC,OIS-7Y,OG-Ticker,USSO7 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,7Y
USD-DSC,OIS-8Y,OG-Ticker,USSO8 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,8Y
USD-DSC,OIS-9Y,OG-Ticker,USSO9 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9Y
USD-DSC,OIS-10Y,OG-Ticker,USSO10 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,10Y
USD-DSC,OIS-12Y,OG-Ticker,USSO12 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,12Y
USD-DSC,OIS-15Y,OG-Ticker,USSO15 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,15Y
USD-DSC,OIS-20Y,OG-Ticker,USSO20 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,20Y
USD-DSC,OIS-25Y,OG-Ticker,USSO25 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,25Y
USD-DSC,OIS-30Y,OG-Ticker,USSO30 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,30Y
USD-DSC,OIS-40Y,OG-Ticker,USSO40 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,40Y
USD-DSC,OIS-50Y,OG-Ticker,USSO50 CURNCY,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,50Y
USD-LIBOR3M,IRS-9M,OG-Ticker,USSWI CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,9M
USD-LIBOR3M,IRS-1Y,OG-Ticker,USSW1 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y
USD-LIBOR3M,IRS-18M,OG-Ticker,USSW1F CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,18M
USD-LIBOR3M,IRS-2Y,OG-Ticker,USSW2 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y
USD-LIBOR3M,IRS-3Y,OG-Ticker,USSW3 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y
USD-LIBOR3M,IRS-4Y,OG-Ticker,USSW4 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y
USD-LIBOR3M,IRS-5Y,OG-Ticker,USSW5 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y
USD-LIBOR3M,IRS-6Y,OG-Ticker,USSW6 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,6Y
USD-LIBOR3M,IRS-7Y,OG-Ticker,USSW7 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y
USD-LIBOR3M,IRS-8Y,OG-Ticker,USSW8 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,8Y
USD-LIBOR3M,IRS-9Y,OG-Ticker,USSW9 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,9Y
USD-LIBOR3M,IRS-10Y,OG-Ticker,USSW10 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y
USD-LIBOR3M,IRS-11Y,OG-Ticker,USSW11 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,11Y
USD-LIBOR3M,IRS-12Y,OG-Ticker,USSW12 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,12Y
USD-LIBOR3M,IRS-13Y,OG-Ticker,USSW13 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,13Y
USD-LIBOR3M,IRS-14Y,OG-Ticker,USSW14 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,14Y
USD-LIBOR3M,IRS-15Y,OG-Ticker,USSW15 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y
USD-LIBOR3M,IRS-17Y,OG-Ticker,USSW17 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,17Y
USD-LIBOR3M,IRS-20Y,OG-Ticker,USSW20 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y
USD-LIBOR3M,IRS-25Y,OG-Ticker,USSW25 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,25Y
USD-LIBOR3M,IRS-30Y,OG-Ticker,USSW30 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y
USD-LIBOR3M,IRS-40Y,OG-Ticker,USSW40 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,40Y
USD-LIBOR3M,IRS-50Y,OG-Ticker,USSW50 CURNCY,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,50Y
EUR-CPI,1Y HCPI,OG-Ticker,EUSWI1 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,1Y
EUR-CPI,2Y HCPI,OG-Ticker,EUSWI2 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,2Y
EUR-CPI,3Y HCPI,OG-Ticker,EUSWI3 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,3Y
EUR-CPI,4Y HCPI,OG-Ticker,EUSWI4 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,4Y
EUR-CPI,5Y HCPI,OG-Ticker,EUSWI5 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,5Y
EUR-CPI,6Y HCPI,OG-Ticker,EUSWI6 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,6Y
EUR-CPI,7Y HCPI,OG-Ticker,EUSWI7 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,7Y
EUR-CPI,8Y HCPI,OG-Ticker,EUSWI8 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,8Y
EUR-CPI,9Y HCPI,OG-Ticker,EUSWI9 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,9Y
EUR-CPI,10Y HCPI,OG-Ticker,EUSWI10 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,10Y
EUR-CPI,12Y HCPI,OG-Ticker,EUSWI12 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,12Y
EUR-CPI,15Y HCPI,OG-Ticker,EUSWI15 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,15Y
EUR-CPI,18Y HCPI,OG-Ticker,EUSWI18 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,18Y
EUR-CPI,20Y HCPI,OG-Ticker,EUSWI20 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,20Y
EUR-CPI,25Y HCPI,OG-Ticker,EUSWI25 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,25Y
