Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time
EUR-CPI,1Y HCPI,OG-Ticker,EUSWI1 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,1Y
EUR-CPI,2Y HCPI,OG-Ticker,EUSWI2 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,2Y
EUR-CPI,3Y HCPI,OG-Ticker,EUSWI3 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,3Y
EUR-CPI,4Y HCPI,OG-Ticker,EUSWI4 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,4Y
EUR-CPI,5Y HCPI,OG-Ticker,EUSWI5 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,5Y
EUR-CPI,6Y HCPI,OG-Ticker,EUSWI6 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,6Y
EUR-CPI,7Y HCPI,OG-Ticker,EUSWI7 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,7Y
EUR-CPI,8Y HCPI,OG-Ticker,EUSWI8 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,8Y
EUR-CPI,9Y HCPI,OG-Ticker,EUSWI9 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,9Y
EUR-CPI,10Y HCPI,OG-Ticker,EUSWI10 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,10Y
EUR-CPI,12Y HCPI,OG-Ticker,EUSWI12 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,12Y
EUR-CPI,15Y HCPI,OG-Ticker,EUSWI15 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,15Y
EUR-CPI,18Y HCPI,OG-Ticker,EUSWI18 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,18Y
EUR-CPI,20Y HCPI,OG-Ticker,EUSWI20 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,20Y
EUR-CPI,25Y HCPI,OG-Ticker,EUSWI25 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,25Y
EUR-CPI,30Y HCPI,OG-Ticker,EUSWI30 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,30Y
EUR-CPI,35Y HCPI,OG-Ticker,EUSWI35 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,35Y
EUR-CPI,40Y HCPI,OG-Ticker,EUSWI40 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,40Y
EUR-CPI,45Y HCPI,OG-Ticker,EUSWI45 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,45Y
EUR-CPI,50Y HCPI,OG-Ticker,EUSWI50 CMPL Index,MarketValue,INF,EUR-FIXED-ZC-EU-EXT-CPI,50Y
EUR-Disc,3M EONIA,OG-Ticker,EUSWEC CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M
EUR-Disc,1Y EONIA,OG-Ticker,EUSWE1 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y
EUR-Disc,2Y EONIA,OG-Ticker,EUSWE2 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y
EUR-Disc,3Y EONIA,OG-Ticker,EUSWE3 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y
EUR-Disc,4Y EONIA,OG-Ticker,EUSWE4 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y
EUR-Disc,5Y EONIA,OG-Ticker,EUSWE5 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y
EUR-Disc,6Y EONIA,OG-Ticker,EUSWE6 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y
EUR-Disc,7Y EONIA,OG-Ticker,EUSWE7 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y
EUR-Disc,8Y EONIA,OG-Ticker,EUSWE8 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y
EUR-Disc,9Y EONIA,OG-Ticker,EUSWE9 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y
EUR-Disc,10Y EONIA,OG-Ticker,EUSWE10 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y
EUR-Disc,12Y EONIA,OG-Ticker,EUSWE12 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,12Y
EUR-Disc,15Y EONIA,OG-Ticker,EUSWE15 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y
EUR-Disc,20Y EONIA,OG-Ticker,EUSWE20 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y
EUR-Disc,30Y EONIA,OG-Ticker,EUSWE30 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y
EUR-Disc,50Y EONIA,OG-Ticker,EUSWE50 CMPL Curncy,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,50Y
