Reference,Date,Value
EUR-EURIBOR-6M,2020-12-31,-0.00526
EUR-EURIBOR-6M,2021-01-04,-0.00532
EUR-EURIBOR-6M,2021-01-05,-0.00524
EUR-EURIBOR-6M,2021-01-06,-0.0053
EUR-EURIBOR-6M,2021-01-07,-0.00524
EUR-EURIBOR-6M,2021-01-08,-0.0053
EUR-EURIBOR-6M,2021-01-11,-0.00523
EUR-EURIBOR-6M,2021-01-12,-0.0053
EUR-EURIBOR-6M,2021-01-13,-0.00527
EUR-EURIBOR-6M,2021-01-14,-0.00533
EUR-EURIBOR-6M,2021-01-15,-0.00532
EUR-EURIBOR-6M,2021-01-18,-0.00533
EUR-EURIBOR-6M,2021-01-19,-0.00528
EUR-EURIBOR-6M,2021-01-20,-0.00532
EUR-EURIBOR-6M,2021-01-21,-0.00527
EUR-EURIBOR-6M,2021-01-22,-0.00525
EUR-EURIBOR-6M,2021-01-25,-0.00521
EUR-EURIBOR-6M,2021-01-26,-0.00528
EUR-EURIBOR-6M,2021-01-27,-0.00526
EUR-EURIBOR-6M,2021-01-28,-0.00534
EUR-EURIBOR-6M,2021-01-29,-0.00531
EUR-EURIBOR-6M,2021-02-01,-0.00528
EUR-EURIBOR-6M,2021-02-02,-0.00526
EUR-EURIBOR-6M,2021-02-03,-0.00521
EUR-EURIBOR-6M,2021-02-04,-0.00525
EUR-EURIBOR-6M,2021-02-05,-0.00519
EUR-EURIBOR-6M,2021-02-08,-0.00521
EUR-EURIBOR-6M,2021-02-09,-0.00523
EUR-EURIBOR-6M,2021-02-10,-0.00522
EUR-EURIBOR-6M,2021-02-11,-0.00521
EUR-EURIBOR-6M,2021-02-12,-0.00522
EUR-EURIBOR-6M,2021-02-15,-0.00521
EUR-EURIBOR-6M,2021-02-16,-0.0052
EUR-EURIBOR-6M,2021-02-17,-0.00521
EUR-EURIBOR-6M,2021-02-18,-0.00518
EUR-EURIBOR-6M,2021-02-19,-0.00517
