Reference,Date,Value
EU-EXT-CPI,2005-01-31,83.914648
EU-EXT-CPI,2005-02-28,84.206272
EU-EXT-CPI,2005-03-31,84.862425
EU-EXT-CPI,2005-04-30,85.226954
EU-EXT-CPI,2005-05-31,85.445671
EU-EXT-CPI,2005-06-30,85.518577
EU-EXT-CPI,2005-07-31,85.445671
EU-EXT-CPI,2005-08-31,85.664389
EU-EXT-CPI,2005-09-30,86.028918
EU-EXT-CPI,2005-10-31,86.247636
EU-EXT-CPI,2005-11-30,86.028918
EU-EXT-CPI,2005-12-31,86.393448
EU-EXT-CPI,2006-01-31,85.983271
EU-EXT-CPI,2006-02-28,86.231086
EU-EXT-CPI,2006-03-31,86.709625
EU-EXT-CPI,2006-04-30,87.299254
EU-EXT-CPI,2006-05-31,87.538524
EU-EXT-CPI,2006-06-30,87.598341
EU-EXT-CPI,2006-07-31,87.470161
EU-EXT-CPI,2006-08-31,87.555615
EU-EXT-CPI,2006-09-30,87.572705
EU-EXT-CPI,2006-10-31,87.598341
EU-EXT-CPI,2006-11-30,87.632523
EU-EXT-CPI,2006-12-31,87.982882
EU-EXT-CPI,2007-01-31,87.487252
EU-EXT-CPI,2007-02-28,87.760703
EU-EXT-CPI,2007-03-31,88.350332
EU-EXT-CPI,2007-04-30,88.914325
EU-EXT-CPI,2007-05-31,89.136504
EU-EXT-CPI,2007-06-30,89.221957
EU-EXT-CPI,2007-07-31,88.991233
EU-EXT-CPI,2007-08-31,89.03396
EU-EXT-CPI,2007-09-30,89.375773
EU-EXT-CPI,2007-10-31,89.828677
EU-EXT-CPI,2007-11-30,90.315761
EU-EXT-CPI,2007-12-31,90.683211
EU-EXT-CPI,2008-01-31,90.298671
EU-EXT-CPI,2008-02-29,90.614849
EU-EXT-CPI,2008-03-31,91.529201
EU-EXT-CPI,2008-04-30,91.828288
EU-EXT-CPI,2008-05-31,92.409371
EU-EXT-CPI,2008-06-30,92.751185
EU-EXT-CPI,2008-07-31,92.61446
EU-EXT-CPI,2008-08-31,92.477734
EU-EXT-CPI,2008-09-30,92.648641
EU-EXT-CPI,2008-10-31,92.674277
EU-EXT-CPI,2008-11-30,92.204283
EU-EXT-CPI,2008-12-31,92.076103
EU-EXT-CPI,2009-01-31,91.281386
EU-EXT-CPI,2009-02-28,91.657381
EU-EXT-CPI,2009-03-31,91.999195
EU-EXT-CPI,2009-04-30,92.323918
EU-EXT-CPI,2009-05-31,92.37519
EU-EXT-CPI,2009-06-30,92.520461
EU-EXT-CPI,2009-07-31,91.871014
EU-EXT-CPI,2009-08-31,92.195738
EU-EXT-CPI,2009-09-30,92.212828
EU-EXT-CPI,2009-10-31,92.435007
EU-EXT-CPI,2009-11-30,92.529006
EU-EXT-CPI,2009-12-31,92.811002
EU-EXT-CPI,2010-01-31,92.076103
EU-EXT-CPI,2010-02-28,92.306827
EU-EXT-CPI,2010-03-31,93.221179
