Reference,Date,Value
EUR-EURIBOR-6M,2019-12-30,-0.00323
EUR-EURIBOR-6M,2020-01-02,-0.00323
USD-LIBOR-3M,2020-01-02,0.0190025
EUR-EURIBOR-6M,2020-01-03,-0.00323
USD-LIBOR-3M,2020-01-03,0.0187388
EUR-EURIBOR-6M,2020-01-06,-0.00325
USD-LIBOR-3M,2020-01-06,0.0187225
EUR-EURIBOR-6M,2020-01-07,-0.00323
USD-LIBOR-3M,2020-01-07,0.01878
EUR-EURIBOR-6M,2020-01-08,-0.00332
USD-LIBOR-3M,2020-01-08,0.01834
EUR-EURIBOR-6M,2020-01-09,-0.00333
USD-LIBOR-3M,2020-01-09,0.0184788
EUR-EURIBOR-6M,2020-01-10,-0.00334
USD-LIBOR-3M,2020-01-10,0.0183775
EUR-EURIBOR-6M,2020-01-13,-0.00324
USD-LIBOR-3M,2020-01-13,0.0183125
EUR-EURIBOR-6M,2020-01-14,-0.00329
USD-LIBOR-3M,2020-01-14,0.0184263
EUR-EURIBOR-6M,2020-01-15,-0.00334
USD-LIBOR-3M,2020-01-15,0.0183613
EUR-EURIBOR-6M,2020-01-16,-0.0033
USD-LIBOR-3M,2020-01-16,0.0182663
EUR-EURIBOR-6M,2020-01-17,-0.00332
USD-LIBOR-3M,2020-01-17,0.0181913
EUR-EURIBOR-6M,2020-01-20,-0.00333
USD-LIBOR-3M,2020-01-20,0.0180213
EUR-EURIBOR-6M,2020-01-21,-0.00334
USD-LIBOR-3M,2020-01-21,0.0180625
EUR-EURIBOR-6M,2020-01-22,-0.00329
USD-LIBOR-3M,2020-01-22,0.0180088
EUR-EURIBOR-6M,2020-01-23,-0.0032
USD-LIBOR-3M,2020-01-23,0.0179413
EUR-EURIBOR-6M,2020-01-24,-0.00323
USD-LIBOR-3M,2020-01-24,0.0179538
EUR-EURIBOR-6M,2020-01-27,-0.00333
USD-LIBOR-3M,2020-01-27,0.017745
EUR-EURIBOR-6M,2020-01-28,-0.00337
USD-LIBOR-3M,2020-01-28,0.017695
EUR-EURIBOR-6M,2020-01-29,-0.00336
USD-LIBOR-3M,2020-01-29,0.0177713
EUR-EURIBOR-6M,2020-01-30,-0.00337
USD-LIBOR-3M,2020-01-30,0.0176325
EUR-EURIBOR-6M,2020-01-31,-0.00338
USD-LIBOR-3M,2020-01-31,0.0175113
EUR-EURIBOR-6M,2020-02-03,-0.00338
USD-LIBOR-3M,2020-02-03,0.01741
EUR-EURIBOR-6M,2020-02-04,-0.0034
USD-LIBOR-3M,2020-02-04,0.0173738
EUR-EURIBOR-6M,2020-02-05,-0.00346
USD-LIBOR-3M,2020-02-05,0.0174163
EUR-EURIBOR-6M,2020-02-06,-0.00343
USD-LIBOR-3M,2020-02-06,0.0173413
EUR-EURIBOR-6M,2020-02-07,-0.00339
USD-LIBOR-3M,2020-02-07,0.0173088
EUR-EURIBOR-6M,2020-02-10,-0.00346
USD-LIBOR-3M,2020-02-10,0.0171313
EUR-EURIBOR-6M,2020-02-11,-0.0035
USD-LIBOR-3M,2020-02-11,0.0170725
EUR-EURIBOR-6M,2020-02-12,-0.00362
USD-LIBOR-3M,2020-02-12,0.0170375
EUR-EURIBOR-6M,2020-02-13,-0.00357
USD-LIBOR-3M,2020-02-13,0.0169163
EUR-EURIBOR-6M,2020-02-14,-0.00359
USD-LIBOR-3M,2020-02-14,0.0169175
EUR-EURIBOR-6M,2020-02-17,-0.00353
USD-LIBOR-3M,2020-02-17,0.0169288
EUR-EURIBOR-6M,2020-02-18,-0.00358
USD-LIBOR-3M,2020-02-18,0.0169463
EUR-EURIBOR-6M,2020-02-19,-0.00353
USD-LIBOR-3M,2020-02-19,0.01696
EUR-EURIBOR-6M,2020-02-20,-0.00358
USD-LIBOR-3M,2020-02-20,0.0168275
EUR-EURIBOR-6M,2020-02-21,-0.00356
USD-LIBOR-3M,2020-02-21,0.0167925
EUR-EURIBOR-6M,2020-02-24,-0.00357
USD-LIBOR-3M,2020-02-24,0.0164663
EUR-EURIBOR-6M,2020-02-25,-0.00358
USD-LIBOR-3M,2020-02-25,0.0163763
EUR-EURIBOR-6M,2020-02-26,-0.00371
USD-LIBOR-3M,2020-02-26,0.0161325
EUR-EURIBOR-6M,2020-02-27,-0.00375
USD-LIBOR-3M,2020-02-27,0.0158038
EUR-EURIBOR-6M,2020-02-28,-0.00386
USD-LIBOR-3M,2020-02-28,0.0146275
EUR-EURIBOR-6M,2020-03-02,-0.004
USD-LIBOR-3M,2020-03-02,0.0125375
EUR-EURIBOR-6M,2020-03-03,-0.00422
USD-LIBOR-3M,2020-03-03,0.0131425
EUR-EURIBOR-6M,2020-03-04,-0.00418
USD-LIBOR-3M,2020-03-04,0.0100063
EUR-EURIBOR-6M,2020-03-05,-0.00432
USD-LIBOR-3M,2020-03-05,0.0099888
EUR-EURIBOR-6M,2020-03-06,-0.00427
USD-LIBOR-3M,2020-03-06,0.00896
EUR-EURIBOR-6M,2020-03-09,-0.00421
USD-LIBOR-3M,2020-03-09,0.0076813
EUR-EURIBOR-6M,2020-03-10,-0.00438
USD-LIBOR-3M,2020-03-10,0.0078413
EUR-EURIBOR-6M,2020-03-11,-0.00429
USD-LIBOR-3M,2020-03-11,0.007725
EUR-EURIBOR-6M,2020-03-12,-0.00447
USD-LIBOR-3M,2020-03-12,0.007405
EUR-EURIBOR-6M,2020-03-13,-0.00397
USD-LIBOR-3M,2020-03-13,0.0084313
EUR-EURIBOR-6M,2020-03-16,-0.00372
USD-LIBOR-3M,2020-03-16,0.0088938
EUR-EURIBOR-6M,2020-03-17,-0.00373
USD-LIBOR-3M,2020-03-17,0.0105188
EUR-EURIBOR-6M,2020-03-18,-0.0036
USD-LIBOR-3M,2020-03-18,0.0111575
EUR-EURIBOR-6M,2020-03-19,-0.00345
USD-LIBOR-3M,2020-03-19,0.0119513
EUR-EURIBOR-6M,2020-03-20,-0.00313
USD-LIBOR-3M,2020-03-20,0.0120413
EUR-EURIBOR-6M,2020-03-23,-0.00307
USD-LIBOR-3M,2020-03-23,0.0121563
EUR-EURIBOR-6M,2020-03-24,-0.00306
USD-LIBOR-3M,2020-03-24,0.0123238
EUR-EURIBOR-6M,2020-03-25,-0.00298
USD-LIBOR-3M,2020-03-25,0.01267
EUR-EURIBOR-6M,2020-03-26,-0.00274
USD-LIBOR-3M,2020-03-26,0.0137463
EUR-EURIBOR-6M,2020-03-27,-0.00281
USD-LIBOR-3M,2020-03-27,0.0145013
EUR-EURIBOR-6M,2020-03-30,-0.0028
USD-LIBOR-3M,2020-03-30,0.0143338
EUR-EURIBOR-6M,2020-03-31,-0.00287
USD-LIBOR-3M,2020-03-31,0.014505
EUR-EURIBOR-6M,2020-04-01,-0.00276
USD-LIBOR-3M,2020-04-01,0.014365
EUR-EURIBOR-6M,2020-04-02,-0.00268
USD-LIBOR-3M,2020-04-02,0.01373
EUR-EURIBOR-6M,2020-04-03,-0.00277
USD-LIBOR-3M,2020-04-03,0.0138738
EUR-EURIBOR-6M,2020-04-06,-0.00253
USD-LIBOR-3M,2020-04-06,0.0135238
EUR-EURIBOR-6M,2020-04-07,-0.00232
USD-LIBOR-3M,2020-04-07,0.0131988
EUR-EURIBOR-6M,2020-04-08,-0.00196
USD-LIBOR-3M,2020-04-08,0.0131138
EUR-EURIBOR-6M,2020-04-09,-0.00179
USD-LIBOR-3M,2020-04-09,0.0121888
EUR-EURIBOR-6M,2020-04-14,-0.00195
USD-LIBOR-3M,2020-04-14,0.0117613
EUR-EURIBOR-6M,2020-04-15,-0.00196
USD-LIBOR-3M,2020-04-15,0.0113488
EUR-EURIBOR-6M,2020-04-16,-0.00187
USD-LIBOR-3M,2020-04-16,0.0113525
EUR-EURIBOR-6M,2020-04-17,-0.00195
USD-LIBOR-3M,2020-04-17,0.01109
EUR-EURIBOR-6M,2020-04-20,-0.00185
USD-LIBOR-3M,2020-04-20,0.0109763
EUR-EURIBOR-6M,2020-04-21,-0.00178
USD-LIBOR-3M,2020-04-21,0.01043
EUR-EURIBOR-6M,2020-04-22,-0.00124
USD-LIBOR-3M,2020-04-22,0.0102025
EUR-EURIBOR-6M,2020-04-23,-0.00114
USD-LIBOR-3M,2020-04-23,0.0099138
EUR-EURIBOR-6M,2020-04-24,-0.00136
USD-LIBOR-3M,2020-04-24,0.0088713
EUR-EURIBOR-6M,2020-04-27,-0.00147
USD-LIBOR-3M,2020-04-27,0.0084075
EUR-EURIBOR-6M,2020-04-28,-0.00163
USD-LIBOR-3M,2020-04-28,0.0076013
EUR-EURIBOR-6M,2020-04-29,-0.00169
USD-LIBOR-3M,2020-04-29,0.0068663
EUR-EURIBOR-6M,2020-04-30,-0.0017
USD-LIBOR-3M,2020-04-30,0.0055613
USD-LIBOR-3M,2020-05-01,0.0054088
EUR-EURIBOR-6M,2020-05-04,-0.00157
USD-LIBOR-3M,2020-05-04,0.0050088
EUR-EURIBOR-6M,2020-05-05,-0.00165
USD-LIBOR-3M,2020-05-05,0.00474
EUR-EURIBOR-6M,2020-05-06,-0.00136
USD-LIBOR-3M,2020-05-06,0.0044763
