Valuation Date,Symbology,Ticker,Field Name,Value
2018-09-28,OG-Ticker,AEX Index,MarketValue,5.4962
2018-09-28,OG-Ticker,BBREIT Index,MarketValue,2.8206
2018-09-28,OG-Ticker,BE500 Index,MarketValue,2.5817
2018-09-28,OG-Ticker,BP0001M CMPL Index,MarketValue,0.007245
2018-09-28,OG-Ticker,BP0001W CMPL Index,MarketValue,0.0071369
2018-09-28,OG-Ticker,BP0002M CMPL Index,MarketValue,0.0075069
2018-09-28,OG-Ticker,BP0003M CMPL Index,MarketValue,0.0080025
2018-09-28,OG-Ticker,BP0006M CMPL Index,MarketValue,0.0090488
2018-09-28,OG-Ticker,BP0012M CMPL Index,MarketValue,0.0106269
2018-09-28,OG-Ticker,BPSP1 CMPL Curncy,MarketValue,0.2033
2018-09-28,OG-Ticker,BPSP10 CMPL Curncy,MarketValue,0.0819
2018-09-28,OG-Ticker,BPSP12 CMPL Curncy,MarketValue,0.062
2018-09-28,OG-Ticker,BPSP15 CMPL Curncy,MarketValue,0.0313
2018-09-28,OG-Ticker,BPSP2 CMPL Curncy,MarketValue,0.314
2018-09-28,OG-Ticker,BPSP20 CMPL Curncy,MarketValue,-0.1157
2018-09-28,OG-Ticker,BPSP3 CMPL Curncy,MarketValue,0.4221
2018-09-28,OG-Ticker,BPSP30 CMPL Curncy,MarketValue,-0.1661
2018-09-28,OG-Ticker,BPSP4 CMPL Curncy,MarketValue,0.331
2018-09-28,OG-Ticker,BPSP5 CMPL Curncy,MarketValue,0.28
2018-09-28,OG-Ticker,BPSP6 CMPL Curncy,MarketValue,0.2664
2018-09-28,OG-Ticker,BPSP7 CMPL Curncy,MarketValue,0.2549
2018-09-28,OG-Ticker,BPSP8 CMPL Curncy,MarketValue,0.2115
2018-09-28,OG-Ticker,BPSP9 CMPL Curncy,MarketValue,0.1439
2018-09-28,OG-Ticker,BPSW1 CMPL Curncy,MarketValue,0.009938
2018-09-28,OG-Ticker,BPSW10 CMPL Curncy,MarketValue,0.01655
2018-09-28,OG-Ticker,BPSW12 CMPL Curncy,MarketValue,0.017035
2018-09-28,OG-Ticker,BPSW15 CMPL Curncy,MarketValue,0.017465
2018-09-28,OG-Ticker,BPSW2 CMPL Curncy,MarketValue,0.011532
2018-09-28,OG-Ticker,BPSW20 CMPL Curncy,MarketValue,0.017725
2018-09-28,OG-Ticker,BPSW25 CMPL Curncy,MarketValue,0.01765
2018-09-28,OG-Ticker,BPSW3 CMPL Curncy,MarketValue,0.012795
2018-09-28,OG-Ticker,BPSW30 CMPL Curncy,MarketValue,0.01747
2018-09-28,OG-Ticker,BPSW4 CMPL Curncy,MarketValue,0.01371
2018-09-28,OG-Ticker,BPSW5 CMPL Curncy,MarketValue,0.014445
2018-09-28,OG-Ticker,BPSW50 CMPL Curncy,MarketValue,0.01678
2018-09-28,OG-Ticker,BPSW6 CMPL Curncy,MarketValue,0.014985
2018-09-28,OG-Ticker,BPSW7 CMPL Curncy,MarketValue,0.015455
2018-09-28,OG-Ticker,BPSW8 CMPL Curncy,MarketValue,0.015865
2018-09-28,OG-Ticker,BPSW9 CMPL Curncy,MarketValue,0.016235
2018-09-28,OG-Ticker,BV010913 Index,MarketValue,-0.00649
2018-09-28,OG-Ticker,BV010921 Index,MarketValue,-0.00416
