Valuation Date,Symbology,Ticker,Field Name,Value
2020-08-31,OG-Ticker,EUSWEC CMPL Curncy,MarketValue,-0.0046
2020-08-31,OG-Ticker,EUSWE1 CMPL Curncy,MarketValue,-0.0048
2020-08-31,OG-Ticker,EUSWE2 CMPL Curncy,MarketValue,-0.00503
2020-08-31,OG-Ticker,EUSWE3 CMPL Curncy,MarketValue,-0.00504
2020-08-31,OG-Ticker,EUSWE4 CMPL Curncy,MarketValue,-0.00489
2020-08-31,OG-Ticker,EUSWE5 CMPL Curncy,MarketValue,-0.00464
2020-08-31,OG-Ticker,EUSWE6 CMPL Curncy,MarketValue,-0.00429
2020-08-31,OG-Ticker,EUSWE7 CMPL Curncy,MarketValue,-0.00391
2020-08-31,OG-Ticker,EUSWE8 CMPL Curncy,MarketValue,-0.00345
2020-08-31,OG-Ticker,EUSWE9 CMPL Curncy,MarketValue,-0.00302
2020-08-31,OG-Ticker,EUSWE10 CMPL Curncy,MarketValue,-0.0025
2020-08-31,OG-Ticker,EUSWE12 CMPL Curncy,MarketValue,-0.001572
2020-08-31,OG-Ticker,EUSWE15 CMPL Curncy,MarketValue,-0.000461
2020-08-31,OG-Ticker,EUSWE20 CMPL Curncy,MarketValue,0.00047
2020-08-31,OG-Ticker,EUSWE30 CMPL Curncy,MarketValue,0.00042
2020-08-31,OG-Ticker,EULFD3M ISCF Curncy,MarketValue,-0.00477
2020-08-31,OG-Ticker,EULFD12M ISCF Curncy,MarketValue,-0.00369
2020-08-31,OG-Ticker,EUSA2 ISCF Curncy,MarketValue,-0.00436
2020-08-31,OG-Ticker,EUSA3 ISCF Curncy,MarketValue,-0.00423
2020-08-31,OG-Ticker,EUSA4 ISCF Curncy,MarketValue,-0.00398
2020-08-31,OG-Ticker,EUSA5 ISCF Curncy,MarketValue,-0.00367
2020-08-31,OG-Ticker,EUSA6 ISCF Curncy,MarketValue,-0.00329
2020-08-31,OG-Ticker,EUSA7 ISCF Curncy,MarketValue,-0.00286
2020-08-31,OG-Ticker,EUSA8 ISCF Curncy,MarketValue,-0.00241
2020-08-31,OG-Ticker,EUSA9 ISCF Curncy,MarketValue,-0.00194
2020-08-31,OG-Ticker,EUSA10 ISCF Curncy,MarketValue,-0.00145
2020-08-31,OG-Ticker,EUSA12 ISCF Curncy,MarketValue,-0.00055
2020-08-31,OG-Ticker,EUSA15 ISCF Curncy,MarketValue,0.00053
2020-08-31,OG-Ticker,EUSA20 ISCF Curncy,MarketValue,0.00136
2020-08-31,OG-Ticker,EUSA30 ISCF Curncy,MarketValue,0.00114
