Expiry,Strike,Maturity,Waarde
1,1,1,0.68
2,1,1,0.65
3,1,1,0.61
4,1,1,0.53
5,1,1,0.46
6,1,1,0.39
7,1,1,0.42
8,1,1,0.44
9,1,1,0.43
10,1,1,0.47
11,1,1,0.49
12,1,1,0.5
13,1,1,0.51
14,1,1,0.52
15,1,1,0.49
16,1,1,0.45
17,1,1,0.35
18,1,1,0.34
19,1,1,0.32
1,2,1,0.54
2,2,1,0.52
3,2,1,0.49
4,2,1,0.44
5,2,1,0.39
6,2,1,0.35
7,2,1,0.4
8,2,1,0.43
9,2,1,0.45
10,2,1,0.48
11,2,1,0.51
12,2,1,0.53
13,2,1,0.54
14,2,1,0.55
15,2,1,0.54
16,2,1,0.52
17,2,1,0.49
18,2,1,0.47
19,2,1,0.45
1,3,1,0.36
2,3,1,0.35
3,3,1,0.33
4,3,1,0.3
5,3,1,0.28
6,3,1,0.29
7,3,1,0.36
8,3,1,0.41
9,3,1,0.44
10,3,1,0.48
11,3,1,0.51
12,3,1,0.52
13,3,1,0.54
14,3,1,0.55
15,3,1,0.54
16,3,1,0.54
17,3,1,0.52
18,3,1,0.5
19,3,1,0.49
1,4,1,0.25
2,4,1,0.24
3,4,1,0.23
4,4,1,0.23
5,4,1,0.23
6,4,1,0.27
7,4,1,0.34
8,4,1,0.4
9,4,1,0.44
10,4,1,0.48
11,4,1,0.51
12,4,1,0.52
13,4,1,0.54
14,4,1,0.55
15,4,1,0.55
16,4,1,0.54
17,4,1,0.53
18,4,1,0.52
19,4,1,0.5
1,5,1,0.17
2,5,1,0.18
3,5,1,0.18
4,5,1,0.19
5,5,1,0.21
6,5,1,0.27
7,5,1,0.34
8,5,1,0.4
9,5,1,0.45
10,5,1,0.48
11,5,1,0.51
12,5,1,0.53
13,5,1,0.54
14,5,1,0.55
15,5,1,0.55
16,5,1,0.55
17,5,1,0.54
18,5,1,0.53
19,5,1,0.52
1,6,1,0.29
2,6,1,0.29
3,6,1,0.28
4,6,1,0.26
5,6,1,0.26
6,6,1,0.29
7,6,1,0.36
8,6,1,0.41
9,6,1,0.46
10,6,1,0.49
11,6,1,0.52
12,6,1,0.54
13,6,1,0.55
14,6,1,0.56
15,6,1,0.56
16,6,1,0.56
17,6,1,0.55
18,6,1,0.54
19,6,1,0.53
1,7,1,0.43
2,7,1,0.42
3,7,1,0.39
4,7,1,0.36
5,7,1,0.34
6,7,1,0.33
7,7,1,0.39
8,7,1,0.44
9,7,1,0.47
10,7,1,0.51
11,7,1,0.53
12,7,1,0.55
13,7,1,0.56
14,7,1,0.57
15,7,1,0.57
16,7,1,0.57
17,7,1,0.56
18,7,1,0.55
19,7,1,0.54
1,8,1,0.68
2,8,1,0.66
3,8,1,0.61
4,8,1,0.55
5,8,1,0.49
6,8,1,0.44
7,8,1,0.47
8,8,1,0.5
9,8,1,0.52
10,8,1,0.55
11,8,1,0.57
12,8,1,0.58
13,8,1,0.59
14,8,1,0.6
15,8,1,0.6
16,8,1,0.59
17,8,1,0.58
18,8,1,0.57
19,8,1,0.56
1,9,1,1.13
2,9,1,1.1
3,9,1,1.01
4,9,1,0.89
5,9,1,0.77
6,9,1,0.64
7,9,1,0.65
8,9,1,0.64
9,9,1,0.63
10,9,1,0.65
11,9,1,0.67
12,9,1,0.68
13,9,1,0.68
14,9,1,0.68
15,9,1,0.67
16,9,1,0.66
17,9,1,0.63
18,9,1,0.62
19,9,1,0.61
1,10,1,1.54
2,10,1,1.5
3,10,1,1.38
4,10,1,1.2
5,10,1,1.03
6,10,1,0.83
7,10,1,0.82
8,10,1,0.8
9,10,1,0.75
10,10,1,0.77
11,10,1,0.79
12,10,1,0.8
13,10,1,0.79
14,10,1,0.78
15,10,1,0.76
