Valuation Date;Symbology;Ticker;Field Name;Value
;;;;
20-11-2015;OG-Ticker;EUR-ON;MarketValue;-0.0019
20-11-2015;OG-Ticker;EUR-TN;MarketValue;-0.00235
20-11-2015;OG-Ticker;EUR-OIS-1M;MarketValue;-0.0019
20-11-2015;OG-Ticker;EUR-OIS-2M;MarketValue;-0.00235
20-11-2015;OG-Ticker;EUR-OIS-3M;MarketValue;-0.0025
20-11-2015;OG-Ticker;EUR-OIS-6M;MarketValue;-0.0028
20-11-2015;OG-Ticker;EUR-OIS-9M;MarketValue;-0.003
20-11-2015;OG-Ticker;EUR-OIS-1Y;MarketValue;-0.0031
20-11-2015;OG-Ticker;EUR-OIS-2Y;MarketValue;-0.0033
20-11-2015;OG-Ticker;EUR-OIS-3Y;MarketValue;-0.0028
20-11-2015;OG-Ticker;EUR-OIS-4Y;MarketValue;-0.0017
20-11-2015;OG-Ticker;EUR-OIS-5Y;MarketValue;-0.0006
20-11-2015;OG-Ticker;EUR-OIS-6Y;MarketValue;0.0007
20-11-2015;OG-Ticker;EUR-OIS-7Y;MarketValue;0.0021
20-11-2015;OG-Ticker;EUR-OIS-8Y;MarketValue;0.0036
20-11-2015;OG-Ticker;EUR-OIS-9Y;MarketValue;0.0049
20-11-2015;OG-Ticker;EUR-OIS-10Y;MarketValue;0.006
20-11-2015;OG-Ticker;EUR-OIS-15Y;MarketValue;0.0102
20-11-2015;OG-Ticker;EUR-OIS-20Y;MarketValue;0.0122
20-11-2015;OG-Ticker;EUR-OIS-30Y;MarketValue;0.013
;;;;
20-11-2015;OG-Ticker;EUR-FIX-EURIBOR3M;MarketValue;-0.00095
20-11-2015;OG-Ticker;EUR-FRA-3Mx6M;MarketValue;-0.002
20-11-2015;OG-Ticker;EUR-FRA-6Mx9M;MarketValue;-0.0023
20-11-2015;OG-Ticker;EUR-IRS3M-6M;MarketValue;-0.002
20-11-2015;OG-Ticker;EUR-BS3M6M-1Y;MarketValue;0.00115
20-11-2015;OG-Ticker;EUR-BS3M6M-2Y;MarketValue;0.00103
20-11-2015;OG-Ticker;EUR-BS3M6M-3Y;MarketValue;0.00103
20-11-2015;OG-Ticker;EUR-BS3M6M-4Y;MarketValue;0.00106
20-11-2015;OG-Ticker;EUR-BS3M6M-5Y;MarketValue;0.00109
20-11-2015;OG-Ticker;EUR-BS3M6M-7Y;MarketValue;0.00106
20-11-2015;OG-Ticker;EUR-BS3M6M-10Y;MarketValue;0.00092
20-11-2015;OG-Ticker;EUR-BS3M6M-15Y;MarketValue;0.00072
20-11-2015;OG-Ticker;EUR-BS3M6M-20Y;MarketValue;0.00059
20-11-2015;OG-Ticker;EUR-BS3M6M-30Y;MarketValue;0.00043
;;;;
20-11-2015;OG-Ticker;EUR-FIX-EURIBOR6M;MarketValue;-0.00024
20-11-2015;OG-Ticker;EUR-FRA-3Mx9M;MarketValue;-0.00195
20-11-2015;OG-Ticker;EUR-FRA-6Mx12M;MarketValue;-0.0023
20-11-2015;OG-Ticker;EUR-FRA-9Mx15M;MarketValue;-0.00245
20-11-2015;OG-Ticker;EUR-IRS6M-1Y;MarketValue;-0.0023
20-11-2015;OG-Ticker;EUR-IRS6M-2Y;MarketValue;-0.0011
20-11-2015;OG-Ticker;EUR-IRS6M-3Y;MarketValue;-0.00055
20-11-2015;OG-Ticker;EUR-IRS6M-4Y;MarketValue;0.0005
20-11-2015;OG-Ticker;EUR-IRS6M-5Y;MarketValue;0.0018
20-11-2015;OG-Ticker;EUR-IRS6M-7Y;MarketValue;0.0045
20-11-2015;OG-Ticker;EUR-IRS6M-10Y;MarketValue;0.0083
20-11-2015;OG-Ticker;EUR-IRS6M-15Y;MarketValue;0.01225
20-11-2015;OG-Ticker;EUR-IRS6M-20Y;MarketValue;0.014
20-11-2015;OG-Ticker;EUR-IRS6M-30Y;MarketValue;0.01455
