Valuation Date,Symbology,Ticker,Field Name,Value
2020-06-30,OG-Ticker,EUSWEA CMPL Curncy,MarketValue,-0.0045
2020-06-30,OG-Ticker,EUSWEB CMPL Curncy,MarketValue,-0.0046
2020-06-30,OG-Ticker,EUSWEC CMPL Curncy,MarketValue,-0.0046
2020-06-30,OG-Ticker,EUSWED CMPL Curncy,MarketValue,-0.0047
2020-06-30,OG-Ticker,EUSWE1 CMPL Curncy,MarketValue,-0.00506
2020-06-30,OG-Ticker,EUSWE1Z CMPL Curncy,MarketValue,-0.00461
2020-06-30,OG-Ticker,EUSWE2 CMPL Curncy,MarketValue,-0.00533
2020-06-30,OG-Ticker,EUSWE3 CMPL Curncy,MarketValue,-0.00553
2020-06-30,OG-Ticker,EUSWE4 CMPL Curncy,MarketValue,-0.00522
2020-06-30,OG-Ticker,EUSWE5 CMPL Curncy,MarketValue,-0.00502
2020-06-30,OG-Ticker,EUSWE6 CMPL Curncy,MarketValue,-0.00471
2020-06-30,OG-Ticker,EUSWE7 CMPL Curncy,MarketValue,-0.00441
2020-06-30,OG-Ticker,EUSWE8 CMPL Curncy,MarketValue,-0.00401
2020-06-30,OG-Ticker,EUSWE9 CMPL Curncy,MarketValue,-0.00361
2020-06-30,OG-Ticker,EUSWE10 CMPL Curncy,MarketValue,-0.00318
2020-06-30,OG-Ticker,EUSWE12 CMPL Curncy,MarketValue,-0.00233
2020-06-30,OG-Ticker,EUSWE15 CMPL Curncy,MarketValue,-0.001211
2020-06-30,OG-Ticker,EUSWE20 CMPL Curncy,MarketValue,-0.00039
2020-06-30,OG-Ticker,EUSWE30 CMPL Curncy,MarketValue,-0.000685
2020-06-30,OG-Ticker,EUSWE50 CMPL Curncy,MarketValue,-0.00154
2020-06-30,OG-Ticker,EUSWEE CMPL Curncy,MarketValue,-0.0047
2020-06-30,OG-Ticker,EUSWEF CMPL Curncy,MarketValue,-0.004845
2020-06-30,OG-Ticker,EUSWEI CMPL Curncy,MarketValue,-0.00495
2020-06-30,OG-Ticker,EUSWI1 CMPL Index,MarketValue,-0.00071
2020-06-30,OG-Ticker,EUSWI2 CMPL Index,MarketValue,0.001938
2020-06-30,OG-Ticker,EUSWI3 CMPL Index,MarketValue,0.00347
2020-06-30,OG-Ticker,EUSWI4 CMPL Index,MarketValue,0.00497
2020-06-30,OG-Ticker,EUSWI5 CMPL Index,MarketValue,0.005713
2020-06-30,OG-Ticker,EUSWI6 CMPL Index,MarketValue,0.006375
2020-06-30,OG-Ticker,EUSWI7 CMPL Index,MarketValue,0.00705
2020-06-30,OG-Ticker,EUSWI8 CMPL Index,MarketValue,0.00757
2020-06-30,OG-Ticker,EUSWI9 CMPL Index,MarketValue,0.00804
2020-06-30,OG-Ticker,EUSWI10 CMPL Index,MarketValue,0.00846
2020-06-30,OG-Ticker,EUSWI12 CMPL Index,MarketValue,0.0092
2020-06-30,OG-Ticker,EUSWI15 CMPL Index,MarketValue,0.010113
2020-06-30,OG-Ticker,EUSWI18 CMPL Index,MarketValue,0.01089
2020-06-30,OG-Ticker,EUSWI20 CMPL Index,MarketValue,0.011425
2020-06-30,OG-Ticker,EUSWI25 CMPL Index,MarketValue,0.01243
2020-06-30,OG-Ticker,EUSWI30 CMPL Index,MarketValue,0.013138
2020-06-30,OG-Ticker,EUSWI35 CMPL Index,MarketValue,0.0133
2020-06-30,OG-Ticker,EUSWI40 CMPL Index,MarketValue,0.013538
2020-06-30,OG-Ticker,EUSWI45 CMPL Index,MarketValue,0.01349
2020-06-30,OG-Ticker,EUSWI50 CMPL Index,MarketValue,0.0137
