Valuation Date,Symbology,Ticker,Field Name,Value
2020-06-30,OG-Ticker,BPSP1 CURNCY,MarketValue,0.241
2020-06-30,OG-Ticker,BPSP10 CURNCY,MarketValue,0.197
2020-06-30,OG-Ticker,BPSP12 CURNCY,MarketValue,0.115
2020-06-30,OG-Ticker,BPSP15 CURNCY,MarketValue,0.0388
2020-06-30,OG-Ticker,BPSP2 CURNCY,MarketValue,0.2726
2020-06-30,OG-Ticker,BPSP20 CURNCY,MarketValue,-0.1084
2020-06-30,OG-Ticker,BPSP3 CURNCY,MarketValue,0.2654
2020-06-30,OG-Ticker,BPSP30 CURNCY,MarketValue,-0.2079
2020-06-30,OG-Ticker,BPSP4 CURNCY,MarketValue,0.2882
2020-06-30,OG-Ticker,BPSP5 CURNCY,MarketValue,0.295
2020-06-30,OG-Ticker,BPSP6 CURNCY,MarketValue,0.324
2020-06-30,OG-Ticker,BPSP7 CURNCY,MarketValue,0.2857
2020-06-30,OG-Ticker,BPSP8 CURNCY,MarketValue,0.2674
2020-06-30,OG-Ticker,BPSP9 CURNCY,MarketValue,0.2211
2020-06-30,OG-Ticker,BPSW1 CURNCY,MarketValue,0.002375
2020-06-30,OG-Ticker,BPSW10 CURNCY,MarketValue,0.00367
2020-06-30,OG-Ticker,BPSW12 CURNCY,MarketValue,0.0040445
2020-06-30,OG-Ticker,BPSW15 CURNCY,MarketValue,0.0043855
2020-06-30,OG-Ticker,BPSW2 CURNCY,MarketValue,0.001856
2020-06-30,OG-Ticker,BPSW20 CURNCY,MarketValue,0.004533
2020-06-30,OG-Ticker,BPSW25 CURNCY,MarketValue,0.004483
2020-06-30,OG-Ticker,BPSW3 CURNCY,MarketValue,0.001869
2020-06-30,OG-Ticker,BPSW30 CURNCY,MarketValue,0.004332
2020-06-30,OG-Ticker,BPSW4 CURNCY,MarketValue,0.002115
2020-06-30,OG-Ticker,BPSW5 CURNCY,MarketValue,0.002388
2020-06-30,OG-Ticker,BPSW50 CURNCY,MarketValue,0.003587
2020-06-30,OG-Ticker,BPSW6 CURNCY,MarketValue,0.002686
2020-06-30,OG-Ticker,BPSW7 CURNCY,MarketValue,0.002928
2020-06-30,OG-Ticker,BPSW8 CURNCY,MarketValue,0.003182
2020-06-30,OG-Ticker,BPSW9 CURNCY,MarketValue,0.0034305
2020-06-30,OG-Ticker,EUCPAM10 CURNCY,MarketValue,4.05
2020-06-30,OG-Ticker,EUCPAM12 CURNCY,MarketValue,5.72
2020-06-30,OG-Ticker,EUCPAM15 CURNCY,MarketValue,8.4
2020-06-30,OG-Ticker,EUCPAM20 CURNCY,MarketValue,13.21
2020-06-30,OG-Ticker,EUCPAM3 CURNCY,MarketValue,0.32
2020-06-30,OG-Ticker,EUCPAM4 CURNCY,MarketValue,0.59
2020-06-30,OG-Ticker,EUCPAM5 CURNCY,MarketValue,0.97
2020-06-30,OG-Ticker,EUCPAM6 CURNCY,MarketValue,1.43
2020-06-30,OG-Ticker,EUCPAM7 CURNCY,MarketValue,1.97
2020-06-30,OG-Ticker,EUCPAM8 CURNCY,MarketValue,2.6
2020-06-30,OG-Ticker,EUCPAM9 CURNCY,MarketValue,3.3
2020-06-30,OG-Ticker,EURAUD CURNCY,MarketValue,0.0162733
2020-06-30,OG-Ticker,EURBRL CURNCY,MarketValue,0.061413
2020-06-30,OG-Ticker,EURCAD CURNCY,MarketValue,0.01525
2020-06-30,OG-Ticker,EURCHF CURNCY,MarketValue,0.0106419
2020-06-30,OG-Ticker,EURCLP CURNCY,MarketValue,9.2439
2020-06-30,OG-Ticker,EURCNY CURNCY,MarketValue,0.079441
2020-06-30,OG-Ticker,EURCOP CURNCY,MarketValue,42.23
2020-06-30,OG-Ticker,EURCRC CURNCY,MarketValue,6.534
2020-06-30,OG-Ticker,EURDKK CURNCY,MarketValue,0.074523
2020-06-30,OG-Ticker,EURGBP CURNCY,MarketValue,0.0090588
2020-06-30,OG-Ticker,EURGTQ CURNCY,MarketValue,0.086582
2020-06-30,OG-Ticker,EURHKD CURNCY,MarketValue,0.087069
2020-06-30,OG-Ticker,EURJPY CURNCY,MarketValue,1.2124
2020-06-30,OG-Ticker,EURMXN CURNCY,MarketValue,0.258324
2020-06-30,OG-Ticker,EURMYR CURNCY,MarketValue,0.048191
2020-06-30,OG-Ticker,EURNOK CURNCY,MarketValue,0.108118
2020-06-30,OG-Ticker,EURNZD CURNCY,MarketValue,0.017404
2020-06-30,OG-Ticker,EURPEN CURNCY,MarketValue,0.03979
2020-06-30,OG-Ticker,EURSEK CURNCY,MarketValue,0.104706
2020-06-30,OG-Ticker,EURSGD CURNCY,MarketValue,0.015654
2020-06-30,OG-Ticker,EURTHB CURNCY,MarketValue,0.347233
2020-06-30,OG-Ticker,EURTRY CURNCY,MarketValue,0.076987
2020-06-30,OG-Ticker,EURUSD CURNCY,MarketValue,0.011234
2020-06-30,OG-Ticker,EUSA1 CURNCY,MarketValue,-0.00356
2020-06-30,OG-Ticker,EUSA10 CURNCY,MarketValue,-0.001689
2020-06-30,OG-Ticker,EUSA11 CURNCY,MarketValue,-0.00135
2020-06-30,OG-Ticker,EUSA12 CURNCY,MarketValue,-0.00095
2020-06-30,OG-Ticker,EUSA13 CURNCY,MarketValue,-0.000565
2020-06-30,OG-Ticker,EUSA14 CURNCY,MarketValue,-0.00024
2020-06-30,OG-Ticker,EUSA15 CURNCY,MarketValue,-1.8e-05
2020-06-30,OG-Ticker,EUSA16 CURNCY,MarketValue,0.000272
2020-06-30,OG-Ticker,EUSA17 CURNCY,MarketValue,0.000454
2020-06-30,OG-Ticker,EUSA18 CURNCY,MarketValue,0.000514
2020-06-30,OG-Ticker,EUSA19 CURNCY,MarketValue,0.000615
2020-06-30,OG-Ticker,EUSA1F CURNCY,MarketValue,-0.00356
2020-06-30,OG-Ticker,EUSA2 CURNCY,MarketValue,-0.003878
2020-06-30,OG-Ticker,EUSA20 CURNCY,MarketValue,0.00072
2020-06-30,OG-Ticker,EUSA21 CURNCY,MarketValue,0.00075
2020-06-30,OG-Ticker,EUSA22 CURNCY,MarketValue,0.00079
2020-06-30,OG-Ticker,EUSA23 CURNCY,MarketValue,0.00073
2020-06-30,OG-Ticker,EUSA24 CURNCY,MarketValue,7e-04
2020-06-30,OG-Ticker,EUSA25 CURNCY,MarketValue,0.000646
2020-06-30,OG-Ticker,EUSA26 CURNCY,MarketValue,0.00059
2020-06-30,OG-Ticker,EUSA27 CURNCY,MarketValue,0.00053
2020-06-30,OG-Ticker,EUSA28 CURNCY,MarketValue,0.00046
2020-06-30,OG-Ticker,EUSA29 CURNCY,MarketValue,0.00039
2020-06-30,OG-Ticker,EUSA3 CURNCY,MarketValue,-0.003868
2020-06-30,OG-Ticker,EUSA30 CURNCY,MarketValue,0.00035
2020-06-30,OG-Ticker,EUSA35 CURNCY,MarketValue,-0.000108
2020-06-30,OG-Ticker,EUSA4 CURNCY,MarketValue,-0.00378
2020-06-30,OG-Ticker,EUSA40 CURNCY,MarketValue,-0.000324
2020-06-30,OG-Ticker,EUSA45 CURNCY,MarketValue,-0.000874
2020-06-30,OG-Ticker,EUSA5 CURNCY,MarketValue,-0.003496
2020-06-30,OG-Ticker,EUSA50 CURNCY,MarketValue,-0.00084
2020-06-30,OG-Ticker,EUSA55 CURNCY,MarketValue,-0.00106
2020-06-30,OG-Ticker,EUSA6 CURNCY,MarketValue,-0.003243
2020-06-30,OG-Ticker,EUSA60 CURNCY,MarketValue,-0.00145
2020-06-30,OG-Ticker,EUSA7 CURNCY,MarketValue,-0.0029
2020-06-30,OG-Ticker,EUSA8 CURNCY,MarketValue,-0.002512
2020-06-30,OG-Ticker,EUSA9 CURNCY,MarketValue,-0.002123
2020-06-30,OG-Ticker,EUSP011 CURNCY,MarketValue,0.1678
2020-06-30,OG-Ticker,EUSP0110 CURNCY,MarketValue,3.92
2020-06-30,OG-Ticker,EUSP0115 CURNCY,MarketValue,6.57
2020-06-30,OG-Ticker,EUSP012 CURNCY,MarketValue,0.385
2020-06-30,OG-Ticker,EUSP0120 CURNCY,MarketValue,9.38
2020-06-30,OG-Ticker,EUSP013 CURNCY,MarketValue,0.685
