Valuation Date,Symbology,Ticker,Field Name,Value
2015-09-30,OG-Ticker,EUR-OIS-1D,MarketValue,-0.00122
2015-09-30,OG-Ticker,EUR-OIS-1W,MarketValue,-0.00145
2015-09-30,OG-Ticker,EUR-OIS-2W,MarketValue,-0.00145
2015-09-30,OG-Ticker,EUR-OIS-1M,MarketValue,-0.001338
2015-09-30,OG-Ticker,EUR-OIS-2M,MarketValue,-0.001453
2015-09-30,OG-Ticker,EUR-OIS-3M,MarketValue,-0.001438
2015-09-30,OG-Ticker,EUR-OIS-4M,MarketValue,-0.00147
2015-09-30,OG-Ticker,EUR-OIS-5M,MarketValue,-0.0015
2015-09-30,OG-Ticker,EUR-OIS-6M,MarketValue,-0.00155
2015-09-30,OG-Ticker,EUR-OIS-7M,MarketValue,-0.00158
2015-09-30,OG-Ticker,EUR-OIS-8M,MarketValue,-0.001553
2015-09-30,OG-Ticker,EUR-OIS-9M,MarketValue,-0.001718
2015-09-30,OG-Ticker,EUR-OIS-10M,MarketValue,-0.00168
2015-09-30,OG-Ticker,EUR-OIS-11M,MarketValue,-0.00171
2015-09-30,OG-Ticker,EUR-OIS-1Y,MarketValue,-0.00173
2015-09-30,OG-Ticker,EUR-OIS-18M,MarketValue,-0.00184
2015-09-30,OG-Ticker,EUR-OIS-2Y,MarketValue,-0.00172
2015-09-30,OG-Ticker,EUR-OIS-30M,MarketValue,-0.0015
2015-09-30,OG-Ticker,EUR-OIS-3Y,MarketValue,-0.00125
2015-09-30,OG-Ticker,EUR-OIS-4Y,MarketValue,-0.00033
2015-09-30,OG-Ticker,EUR-OIS-5Y,MarketValue,0.00081
2015-09-30,OG-Ticker,EUR-OIS-6Y,MarketValue,0.00208
2015-09-30,OG-Ticker,EUR-OIS-7Y,MarketValue,0.00344
2015-09-30,OG-Ticker,EUR-OIS-8Y,MarketValue,0.00474
2015-09-30,OG-Ticker,EUR-OIS-9Y,MarketValue,0.00596
2015-09-30,OG-Ticker,EUR-OIS-10Y,MarketValue,0.00705
2015-09-30,OG-Ticker,EUR-OIS-11Y,MarketValue,0.00803
2015-09-30,OG-Ticker,EUR-OIS-12Y,MarketValue,0.00893
2015-09-30,OG-Ticker,EUR-OIS-13Y,MarketValue,0.00968
2015-09-30,OG-Ticker,EUR-OIS-14Y,MarketValue,0.010365
2015-09-30,OG-Ticker,EUR-OIS-15Y,MarketValue,0.01095
2015-09-30,OG-Ticker,EUR-OIS-20Y,MarketValue,0.012805
2015-09-30,OG-Ticker,EUR-OIS-25Y,MarketValue,0.01334
2015-09-30,OG-Ticker,EUR-OIS-30Y,MarketValue,0.01355
2015-09-30,OG-Ticker,EUR-OIS-35Y,MarketValue,0.013718
2015-09-30,OG-Ticker,EUR-OIS-40Y,MarketValue,0.0137
