Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
EUR-DSCON-OIS,OIS-1W,OG-Ticker,EUR-OIS-1W,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1W,
EUR-DSCON-OIS,OIS-2W,OG-Ticker,EUR-OIS-2W,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2W,
EUR-DSCON-OIS,OIS-1M,OG-Ticker,EUR-OIS-1M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M,
EUR-DSCON-OIS,OIS-2M,OG-Ticker,EUR-OIS-2M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M,
EUR-DSCON-OIS,OIS-3M,OG-Ticker,EUR-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,
EUR-DSCON-OIS,OIS-4M,OG-Ticker,EUR-OIS-4M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4M,
EUR-DSCON-OIS,OIS-5M,OG-Ticker,EUR-OIS-5M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5M,
EUR-DSCON-OIS,OIS-6M,OG-Ticker,EUR-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,
EUR-DSCON-OIS,OIS-7M,OG-Ticker,EUR-OIS-7M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7M,
EUR-DSCON-OIS,OIS-8M,OG-Ticker,EUR-OIS-8M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8M,
EUR-DSCON-OIS,OIS-9M,OG-Ticker,EUR-OIS-9M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9M,
EUR-DSCON-OIS,OIS-10M,OG-Ticker,EUR-OIS-10M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10M,
EUR-DSCON-OIS,OIS-11M,OG-Ticker,EUR-OIS-11M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11M,
EUR-DSCON-OIS,OIS-1Y,OG-Ticker,EUR-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,
EUR-DSCON-OIS,OIS-18M,OG-Ticker,EUR-OIS-18M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,18M,
EUR-DSCON-OIS,OIS-2Y,OG-Ticker,EUR-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,
EUR-DSCON-OIS,OIS-30M,OG-Ticker,EUR-OIS-30M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30M,
EUR-DSCON-OIS,OIS-3Y,OG-Ticker,EUR-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,
EUR-DSCON-OIS,OIS-4Y,OG-Ticker,EUR-OIS-4Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y,
EUR-DSCON-OIS,OIS-5Y,OG-Ticker,EUR-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,
EUR-DSCON-OIS,OIS-6Y,OG-Ticker,EUR-OIS-6Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y,
EUR-DSCON-OIS,OIS-7Y,OG-Ticker,EUR-OIS-7Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y,
EUR-DSCON-OIS,OIS-8Y,OG-Ticker,EUR-OIS-8Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y,
EUR-DSCON-OIS,OIS-9Y,OG-Ticker,EUR-OIS-9Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y,
EUR-DSCON-OIS,OIS-10Y,OG-Ticker,EUR-OIS-10Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y,
EUR-DSCON-OIS,OIS-11Y,OG-Ticker,EUR-OIS-11Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11Y,
EUR-DSCON-OIS,OIS-12Y,OG-Ticker,EUR-OIS-12Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,12Y,
