Id,Id Scheme,Start Date,End Date,Fixed Rate
AT0000383864,OG,1997-07-11,2027-07-15,6.25
AT0000386115,OG,2005-01-18,2020-07-15,3.9
AT0000A001X2,OG,2006-01-16,2021-09-15,3.5
AT0000A04967,OG,2007-01-17,2037-03-15,4.15
AT0000A0DXC2,OG,2009-06-23,2026-03-15,4.85
AT0000A0N9A0,OG,2011-01-17,2022-04-20,3.65
AT0000A0U299,OG,2012-01-26,2062-01-26,3.8
AT0000A0U3T4,OG,2012-01-26,2022-11-22,3.4
AT0000A0VRQ6,OG,2012-07-03,2044-06-20,3.15
AT0000A105W3,OG,2013-04-17,2023-10-20,1.75
AT0000A10683,OG,2013-04-17,2034-05-23,2.4
AT0000A185T1,OG,2014-06-04,2024-10-21,1.65
AT0000A1FAP5,OG,2015-06-23,2025-10-20,1.2
AT0000A1K9C8,OG,2016-02-23,2026-10-20,0.75
AT0000A1K9F1,OG,2016-02-23,2047-02-20,1.5
AT0000A1PE50,OG,2016-11-02,2023-07-15,0
AT0000A1PEF7,OG,2016-11-02,2086-11-02,1.5
AT0000A1VGK0,OG,2017-04-20,2027-04-20,0.5
AT0000A1ZGE4,OG,2018-01-25,2028-02-20,0.75
AT0000A269M8,OG,2019-02-05,2029-02-20,0.5
AT0000A28KX7,OG,2019-07-02,2024-07-15,0
AT0000A2CQD2,OG,2020-02-05,2030-02-20,0
BE0000291972,OG,1998-02-26,2028-03-28,5.5
BE0000304130,OG,2004-05-19,2035-03-28,5
BE0000318270,OG,2010-01-19,2020-09-28,3.75
BE0000320292,OG,2010-04-21,2041-03-28,4.25
BE0000321308,OG,2011-01-25,2021-09-28,4.25
BE0000326356,OG,2012-03-21,2032-03-28,4
BE0000331406,OG,2013-09-17,2045-06-22,3.75
BE0000333428,OG,2014-03-18,2034-06-22,3
BE0000334434,OG,2015-01-14,2025-06-22,0.8
BE0000335449,OG,2015-02-17,2031-06-22,1
BE0000336454,OG,2015-09-16,2038-06-22,1.9
BE0000337460,OG,2016-01-20,2026-06-22,1
BE0000338476,OG,2016-03-08,2047-06-22,1.6
BE0000339482,OG,2016-05-06,2023-10-22,0.2
BE0000340498,OG,2016-05-06,2066-06-22,2.15
BE0000341504,OG,2017-01-24,2027-06-22,0.8
BE0000343526,OG,2017-02-14,2057-06-22,2.25
BE0000344532,OG,2017-05-31,2037-06-22,1.45
BE0000346552,OG,2018-03-05,2033-04-22,1.25
BE0000347568,OG,2019-01-15,2029-06-22,0.9
BE0000348574,OG,2019-02-05,2050-06-22,1.7
BE0000349580,OG,2020-01-22,2030-06-22,0.1
