AGE,YEAR,rate
0,2018,0.002209044
0,2019,0.002115579
0,2020,0.00202611
0,2021,0.001940464
0,2022,0.001858474
0,2023,0.001779983
0,2024,0.001704838
0,2025,0.001632896
0,2026,0.001564017
0,2027,0.00149807
0,2028,0.001434928
0,2029,0.00137447
0,2030,0.001316581
0,2031,0.00126115
0,2032,0.001208071
0,2033,0.001157244
0,2034,0.001108572
0,2035,0.001061962
0,2036,0.001017326
0,2037,0.000974579
0,2038,0.000933641
0,2039,0.000894435
0,2040,0.000856886
0,2041,0.000820923
0,2042,0.00078648
0,2043,0.00075349
0,2044,0.000721893
0,2045,0.000691629
0,2046,0.00066264
0,2047,0.000634874
0,2048,0.000608277
0,2049,0.000582801
0,2050,0.000558397
0,2051,0.000535021
0,2052,0.000512628
0,2053,0.000491177
0,2054,0.000470627
0,2055,0.000450942
0,2056,0.000432083
0,2057,0.000414017
0,2058,0.00039671
0,2059,0.000380129
0,2060,0.000364244
0,2061,0.000349025
0,2062,0.000334445
0,2063,0.000320477
0,2064,0.000307094
0,2065,0.000294271
0,2066,0.000281987
0,2067,0.000270216
0,2068,0.000258939
0,2069,0.000248134
0,2070,0.000237781
0,2071,0.000227862
0,2072,0.000218358
0,2073,0.000209251
0,2074,0.000200526
0,2075,0.000192165
0,2076,0.000184154
0,2077,0.000176477
0,2078,0.000169122
0,2079,0.000162074
0,2080,0.00015532
0,2081,0.000148849
0,2082,0.000142647
0,2083,0.000136705
0,2084,0.000131011
0,2085,0.000125555
0,2086,0.000120326
0,2087,0.000115316
0,2088,0.000110514
0,2089,0.000105913
0,2090,0.000101504
0,2091,9.7279e-05
0,2092,9.323e-05
0,2093,8.935e-05
0,2094,8.5632e-05
0,2095,8.2068e-05
0,2096,7.8653e-05
0,2097,7.5381e-05
0,2098,7.2245e-05
0,2099,6.9239e-05
0,2100,6.6359e-05
0,2101,6.3599e-05
0,2102,6.0954e-05
0,2103,5.8419e-05
0,2104,5.5989e-05
0,2105,5.3661e-05
0,2106,5.143e-05
0,2107,4.9291e-05
0,2108,4.7242e-05
0,2109,4.5278e-05
0,2110,4.3396e-05
0,2111,4.1592e-05
0,2112,3.9863e-05
0,2113,3.8206e-05
0,2114,3.6618e-05
0,2115,3.5096e-05
0,2116,3.3637e-05
0,2117,3.2239e-05
0,2118,3.09e-05
0,2119,2.9616e-05
0,2120,2.8385e-05
0,2121,2.7206e-05
0,2122,2.6075e-05
0,2123,2.4992e-05
0,2124,2.3953e-05
0,2125,2.2958e-05
0,2126,2.2005e-05
0,2127,2.109e-05
0,2128,2.0214e-05
0,2129,1.9375e-05
0,2130,1.857e-05
0,2131,1.7799e-05
0,2132,1.7059e-05
0,2133,1.6351e-05
0,2134,1.5672e-05
0,2135,1.5021e-05
0,2136,1.4397e-05
0,2137,1.3799e-05
0,2138,1.3226e-05
0,2139,1.2677e-05
0,2140,1.215e-05
0,2141,1.1646e-05
0,2142,1.1162e-05
1,2018,0.000210783
1,2019,0.000203115
1,2020,0.000195722
1,2021,0.000188595
1,2022,0.000181724
1,2023,0.000175101
1,2024,0.000168716
1,2025,0.000162561
1,2026,0.000156628
1,2027,0.00015091
1,2028,0.000145398
1,2029,0.000140085
1,2030,0.000134964
1,2031,0.000130029
1,2032,0.000125272
1,2033,0.000120688
1,2034,0.00011627
1,2035,0.000112013
1,2036,0.00010791
1,2037,0.000103955
1,2038,0.000100145
1,2039,9.6473e-05
1,2040,9.2935e-05
1,2041,8.9526e-05
1,2042,8.624e-05
1,2043,8.3075e-05
1,2044,8.0025e-05
1,2045,7.7086e-05
1,2046,7.4254e-05
1,2047,7.1525e-05
1,2048,6.8897e-05
1,2049,6.6364e-05
1,2050,6.3924e-05
1,2051,6.1573e-05
1,2052,5.9308e-05
1,2053,5.7125e-05
1,2054,5.5023e-05
1,2055,5.2998e-05
1,2056,5.1047e-05
1,2057,4.9167e-05
1,2058,4.7356e-05
1,2059,4.5612e-05
1,2060,4.3931e-05
1,2061,4.2312e-05
1,2062,4.0753e-05
1,2063,3.925e-05
1,2064,3.7803e-05
1,2065,3.6409e-05
1,2066,3.5067e-05
1,2067,3.3773e-05
1,2068,3.2527e-05
1,2069,3.1327e-05
1,2070,3.0171e-05
1,2071,2.9058e-05
1,2072,2.7985e-05
1,2073,2.6952e-05
1,2074,2.5957e-05
1,2075,2.4998e-05
1,2076,2.4075e-05
1,2077,2.3186e-05
1,2078,2.233e-05
1,2079,2.1505e-05
1,2080,2.071e-05
1,2081,1.9945e-05
1,2082,1.9208e-05
1,2083,1.8498e-05
1,2084,1.7814e-05
1,2085,1.7156e-05
1,2086,1.6522e-05
1,2087,1.5911e-05
1,2088,1.5323e-05
1,2089,1.4756e-05
1,2090,1.421e-05
1,2091,1.3685e-05
1,2092,1.3179e-05
1,2093,1.2691e-05
1,2094,1.2222e-05
1,2095,1.1769e-05
1,2096,1.1334e-05
1,2097,1.0915e-05
1,2098,1.0511e-05
1,2099,1.0122e-05
1,2100,9.747e-06
1,2101,9.387e-06
1,2102,9.039e-06
1,2103,8.705e-06
1,2104,8.382e-06
1,2105,8.072e-06
1,2106,7.773e-06
1,2107,7.485e-06
1,2108,7.208e-06
1,2109,6.941e-06
1,2110,6.684e-06
1,2111,6.437e-06
1,2112,6.198e-06
1,2113,5.969e-06
1,2114,5.748e-06
1,2115,5.535e-06
1,2116,5.33e-06
1,2117,5.133e-06
1,2118,4.942e-06
1,2119,4.759e-06
1,2120,4.583e-06
1,2121,4.413e-06
1,2122,4.25e-06
1,2123,4.092e-06
1,2124,3.941e-06
