AGE,rate,YEAR
0,43.773042312,2020
1,43.773042312,2021
2,43.773042312,2022
3,43.773042312,2023
4,43.773042312,2024
5,43.773042312,2025
6,43.773042312,2026
7,43.773042312,2027
8,43.773042312,2028
9,43.773042312,2029
10,43.773042312,2030
11,43.773042312,2031
12,43.773042312,2032
13,43.773042312,2033
14,43.773042312,2034
15,43.773042312,2035
16,43.773042312,2036
17,43.773042312,2037
18,43.773042312,2038
19,43.773042312,2039
20,43.773042312,2040
21,43.773042312,2041
22,43.773042312,2042
23,43.773042312,2043
24,43.773042312,2044
25,43.773042312,2045
26,43.773042312,2046
27,43.773042312,2047
28,43.773042312,2048
29,43.773042312,2049
30,43.773042312,2050
31,44.254946011,2051
32,44.73684971,2052
33,45.218753409,2053
34,45.700657108,2054
35,46.182560807,2055
36,46.664464506,2056
37,47.146368205,2057
38,47.628271904,2058
39,48.110175603,2059
40,48.592079302,2060
41,49.073983001,2061
42,49.5558867,2062
43,50.0377904,2063
44,50.519694099,2064
45,51.001597798,2065
46,51.483501497,2066
47,51.965405196,2067
48,52.447308895,2068
49,52.929212594,2069
50,53.411116293,2070
51,53.893019992,2071
52,54.374923691,2072
53,54.85682739,2073
54,55.338731089,2074
55,55.820634788,2075
56,56.302538487,2076
57,56.784442187,2077
58,57.266345886,2078
59,57.748249585,2079
60,58.230153284,2080
61,58.712056983,2081
62,59.193960682,2082
63,59.675864381,2083
64,60.15776808,2084
65,60.639671779,2085
66,61.623679985,2086
67,62.60768819,2087
68,63.591696396,2088
69,64.575704601,2089
70,65.559712807,2090
71,66.543721012,2091
72,67.527729218,2092
73,68.511737423,2093
74,69.495745629,2094
75,70.479753834,2095
76,71.46376204,2096
77,72.447770245,2097
78,73.431778451,2098
79,74.415786656,2099
80,75.399794862,2100
81,76.383803067,2101
82,77.367811273,2102
83,78.351819478,2103
84,79.335827684,2104
85,80.31983589,2105
86,81.303844095,2106
87,82.287852301,2107
88,83.271860506,2108
89,84.255868712,2109
90,85.239876917,2110
91,86.223885123,2111
92,87.207893328,2112
93,88.191901534,2113
94,89.175909739,2114
95,90.159917945,2115
96,91.14392615,2116
97,92.127934356,2117
98,93.111942561,2118
99,94.095950767,2119
100,95.079958972,2120
101,96.063967178,2121
102,97.047975383,2122
103,98.031983589,2123
104,99.015991794,2124
105,100,2125
106,100,2126
107,100,2127
108,100,2128
109,100,2129
110,100,2130
111,100,2131
112,100,2132
113,100,2133
114,100,2134
115,100,2135
116,100,2136
117,100,2137
118,100,2138
119,100,2139
120,100,2140
121,100,2141
122,100,2142
123,100,2143
124,100,2144
125,100,2145
126,100,2146
127,100,2147
128,100,2148
129,100,2149
130,100,2150
