AGE,rate,YEAR
0,51.586214835,2020
1,51.586214835,2021
2,51.586214835,2022
3,51.586214835,2023
4,51.586214835,2024
5,51.586214835,2025
6,51.586214835,2026
7,51.586214835,2027
8,51.586214835,2028
9,51.586214835,2029
10,51.586214835,2030
11,51.586214835,2031
12,51.586214835,2032
13,51.586214835,2033
14,51.586214835,2034
15,51.586214835,2035
16,51.586214835,2036
17,51.586214835,2037
18,51.586214835,2038
19,51.586214835,2039
20,51.586214835,2040
21,51.586214835,2041
22,51.586214835,2042
23,51.586214835,2043
24,51.586214835,2044
25,51.586214835,2045
26,51.586214835,2046
27,51.586214835,2047
28,51.586214835,2048
29,51.586214835,2049
30,51.586214835,2050
31,51.869038398,2051
32,52.151861962,2052
33,52.434685525,2053
34,52.717509088,2054
35,53.000332652,2055
36,53.283156215,2056
37,53.565979778,2057
38,53.848803342,2058
39,54.131626905,2059
40,54.414450468,2060
41,54.697274032,2061
42,54.980097595,2062
43,55.262921158,2063
44,55.545744722,2064
45,55.828568285,2065
46,56.111391848,2066
47,56.394215412,2067
48,56.677038975,2068
49,56.959862538,2069
50,57.242686102,2070
51,57.525509665,2071
52,57.808333228,2072
53,58.091156792,2073
54,58.373980355,2074
55,58.656803918,2075
56,58.939627482,2076
57,59.222451045,2077
58,59.505274608,2078
59,59.788098172,2079
60,60.070921735,2080
61,60.353745298,2081
62,60.636568862,2082
63,60.919392425,2083
64,61.202215988,2084
65,61.485039552,2085
66,62.469047757,2086
67,63.453055963,2087
68,64.437064168,2088
69,65.421072374,2089
70,66.405080579,2090
71,67.389088785,2091
72,68.37309699,2092
73,69.357105196,2093
74,70.341113401,2094
75,71.325121607,2095
76,72.309129812,2096
77,73.293138018,2097
78,74.277146223,2098
79,75.261154429,2099
80,76.245162635,2100
81,77.22917084,2101
82,78.213179046,2102
83,79.197187251,2103
84,80.181195457,2104
85,81.165203662,2105
86,82.149211868,2106
87,83.133220073,2107
88,84.117228279,2108
89,85.101236484,2109
90,86.08524469,2110
91,87.069252895,2111
92,88.053261101,2112
93,89.037269306,2113
94,90.021277512,2114
95,91.005285717,2115
96,91.989293923,2116
97,92.973302128,2117
98,93.957310334,2118
99,94.941318539,2119
100,95.925326745,2120
101,96.90933495,2121
102,97.893343156,2122
103,98.877351362,2123
104,99.861359567,2124
105,100,2125
106,100,2126
107,100,2127
108,100,2128
109,100,2129
110,100,2130
111,100,2131
112,100,2132
113,100,2133
114,100,2134
115,100,2135
116,100,2136
117,100,2137
118,100,2138
119,100,2139
120,100,2140
121,100,2141
122,100,2142
123,100,2143
124,100,2144
125,100,2145
126,100,2146
127,100,2147
128,100,2148
129,100,2149
130,100,2150
