AGE,rate,YEAR
1,0.005712,2020
2,0.005712,2021
3,0.005736,2022
4,0.000456,2023
5,0.000312,2024
6,0.000228,2025
7,0.000192,2026
8,0.000168,2027
9,0.000144,2028
10,0.000144,2029
11,0.000132,2030
12,0.000144,2031
13,0.000144,2032
14,0.000144,2033
15,0.000168,2034
16,0.000192,2035
17,0.000228,2036
18,0.000288,2037
19,0.000372,2038
20,0.000444,2039
21,0.000528,2040
22,0.000588,2041
23,0.000636,2042
24,0.000624,2043
25,0.000636,2044
26,0.000612,2045
27,6e-04,2046
28,6e-04,2047
29,0.000612,2048
30,0.000624,2049
31,0.000648,2050
32,0.00066,2051
33,0.000696,2052
34,0.000732,2053
35,0.000768,2054
36,0.000804,2055
37,0.00084,2056
38,9e-04,2057
39,0.00096,2058
40,0.001044,2059
41,0.001128,2060
42,0.001236,2061
43,0.001368,2062
44,0.001536,2063
45,0.001692,2064
46,0.001896,2065
47,0.0021,2066
48,0.00234,2067
49,0.002568,2068
50,0.002832,2069
51,0.003132,2070
52,0.003492,2071
53,0.003852,2072
54,0.004284,2073
55,0.00468,2074
56,0.00516,2075
57,0.005712,2076
58,0.006288,2077
59,0.00696,2078
60,0.007704,2079
61,0.008484,2080
62,0.009396,2081
63,0.010368,2082
64,0.011484,2083
65,0.012708,2084
66,0.014112,2085
67,0.015756,2086
68,0.01758,2087
69,0.019668,2088
70,0.021936,2089
71,0.024408,2090
72,0.027372,2091
73,0.0306,2092
74,0.03408,2093
75,0.037956,2094
76,0.042204,2095
77,0.047004,2096
78,0.052212,2097
79,0.057924,2098
80,0.064356,2099
81,0.071544,2100
82,0.07944,2101
83,0.0882,2102
84,0.097416,2103
85,0.107628,2104
86,0.118596,2105
87,0.131124,2106
88,0.144036,2107
89,0.158352,2108
90,0.17436,2109
91,0.190572,2110
92,0.207252,2111
93,0.22548,2112
94,0.24516,2113
95,0.2649,2114
96,0.284268,2115
97,0.306432,2116
98,0.327516,2117
99,0.351024,2118
100,0.376992,2119
101,0.393756,2120
102,0.407952,2121
103,0.436428,2122
104,0.45588,2123
105,0.475884,2124
106,0.496212,2125
107,0.517068,2126
108,0.537972,2127
109,0.560388,2128
110,0.580956,2129
111,1,2130
112,1,2131
113,1,2132
114,1,2133
115,1,2134
116,1,2135
117,1,2136
118,1,2137
119,1,2138
120,1,2139
