AGE,rate,YEAR
1,0.000216,2020
2,0.000216,2021
3,0.000216,2022
4,0.000216,2023
5,0.000216,2024
6,0.000216,2025
7,0.000216,2026
8,0.000216,2027
9,0.000216,2028
10,0.000216,2029
11,0.000216,2030
12,0.000216,2031
13,0.000216,2032
14,0.000216,2033
15,0.000216,2034
16,0.000216,2035
17,0.000252,2036
18,0.000276,2037
19,3e-04,2038
20,0.000312,2039
21,0.000312,2040
22,0.000324,2041
23,0.000324,2042
24,0.000336,2043
25,0.000336,2044
26,0.000348,2045
27,0.000348,2046
28,0.000348,2047
29,0.00036,2048
30,0.000372,2049
31,0.000372,2050
32,0.000396,2051
33,0.00042,2052
34,0.000444,2053
35,0.00048,2054
36,0.000516,2055
37,0.000552,2056
38,0.000576,2057
39,0.000648,2058
40,0.000732,2059
41,0.000828,2060
42,0.000924,2061
43,0.001044,2062
44,0.001164,2063
45,0.001296,2064
46,0.001452,2065
47,0.00162,2066
48,0.0018,2067
49,0.002004,2068
50,0.002232,2069
51,0.002484,2070
52,0.00276,2071
53,0.00306,2072
54,0.003408,2073
55,0.00378,2074
56,0.004188,2075
57,0.004656,2076
58,0.00516,2077
59,0.005712,2078
60,0.006336,2079
61,0.00702,2080
62,0.007764,2081
63,0.008604,2082
64,0.009516,2083
65,0.01068,2084
66,0.011832,2085
67,0.013104,2086
68,0.01452,2087
69,0.016056,2088
70,0.017808,2089
71,0.019692,2090
72,0.021768,2091
73,0.02406,2092
74,0.026616,2093
75,0.028896,2094
76,0.03138,2095
77,0.03138,2096
78,0.03138,2097
79,0.03138,2098
80,0.03138,2099
81,0.03138,2100
82,0.03138,2101
83,0.03138,2102
84,0.03138,2103
85,0.03138,2104
86,0.03138,2105
87,0.03138,2106
88,0.03138,2107
89,0.03138,2108
90,0.03138,2109
91,0.03138,2110
92,0.03138,2111
93,0.03138,2112
94,0.03138,2113
95,0.03138,2114
96,0.03138,2115
97,0.03138,2116
98,0.03138,2117
99,0.03138,2118
100,0.03138,2119
101,0.03138,2120
102,0.03138,2121
103,0.03138,2122
104,0.03138,2123
105,0.03138,2124
106,0.03138,2125
107,0.03138,2126
108,0.03138,2127
109,0.03138,2128
110,0.03138,2129
111,1,2130
112,1,2131
113,1,2132
114,1,2133
115,1,2134
116,1,2135
117,1,2136
118,1,2137
119,1,2138
120,1,2139
