AGE,rate,YEAR
1,0,2021
2,0,2022
3,0,2023
4,0,2024
5,0,2025
6,0,2026
7,0,2027
8,0,2028
9,0,2029
10,0,2030
11,0,2031
12,0,2032
13,0,2033
14,0,2034
15,0,2035
16,0,2036
17,0,2037
18,0,2038
19,0,2039
20,0,2040
21,0.0469898724,2041
22,0.0377253834,2042
23,0.473858018863918,2043
24,0.426965350216159,2044
25,0.411458265860455,2045
26,0.609239943372993,2046
27,0.949574450267886,2047
28,1.0804387211733,2048
29,1.04681242948125,2049
30,1.23223081623628,2050
31,1.47572653247982,2051
32,1.34238620660786,2052
33,1.48594079579714,2053
34,1.19775142424609,2054
35,1.22936039873065,2055
36,1.00753703279125,2056
37,1.18380187742701,2057
38,1.08792020088045,2058
39,1.24097349956471,2059
40,0.814548851744173,2060
41,0.961911310540357,2061
42,1.03379754048859,2062
43,0.804110653637216,2063
44,0.995568273058824,2064
45,0.740077858637035,2065
46,0.696437967822463,2066
47,0.910497478770248,2067
48,0.810193829085117,2068
49,0.786151653180728,2069
50,1.00514674171644,2070
51,0.790735064067387,2071
52,0.91290995233445,2072
53,0.860491840635084,2073
54,0.695700299728694,2074
55,0.579593177476174,2075
56,0.886014130726916,2076
57,0.788718928101036,2077
58,0.670455408892158,2078
59,1.26025251017552,2079
60,0.764240970842688,2080
61,0.569977453371361,2081
62,0.528683989102866,2082
63,0.662652513814107,2083
64,0.479843293682193,2084
65,0.364562890066879,2085
66,0.299176981313495,2086
67,1.82598335905385,2087
68,0,2088
69,0,2089
70,0,2090
71,0,2091
72,0,2092
73,0,2093
74,0,2094
75,0,2095
76,0,2096
77,0,2097
78,0,2098
79,0,2099
80,0,2100
81,0,2101
82,0,2102
83,0,2103
84,0,2104
85,0,2105
86,0,2106
87,0,2107
88,0,2108
89,0,2109
90,0,2110
91,0,2111
92,0,2112
93,0,2113
94,0,2114
95,0,2115
96,0,2116
97,0,2117
98,0,2118
99,0,2119
100,0,2120
101,0,2121
102,0,2122
103,0,2123
104,0,2124
105,0,2125
106,0,2126
107,0,2127
108,0,2128
109,0,2129
110,0,2130
111,0,2131
112,0,2132
113,0,2133
114,0,2134
115,0,2135
116,0,2136
117,0,2137
118,0,2138
119,0,2139
120,0,2140
121,0,2141
122,0,2142
123,0,2143
124,0,2144
125,0,2145
