Id,Security Id,Security Id Scheme,Start Date,End Date,Fixed Rate,Coupon Frequency,First coupon,Currency,Notional
AT0000383864,AT0000383864,OG-Security,1997-07-11,2027-07-15,6.25,1,1997-07-15,EUR,1
AT0000386115,AT0000386115,OG-Security,2005-01-18,2020-07-15,3.9,1,2004-07-15,EUR,1
AT0000A001X2,AT0000A001X2,OG-Security,2006-01-16,2021-09-15,3.5,1,2005-09-15,EUR,1
AT0000A04967,AT0000A04967,OG-Security,2007-01-17,2037-03-15,4.15,1,2006-03-15,EUR,1
AT0000A0DXC2,AT0000A0DXC2,OG-Security,2009-06-23,2026-03-15,4.85,1,2009-03-15,EUR,1
AT0000A0N9A0,AT0000A0N9A0,OG-Security,2011-01-17,2022-04-20,3.65,1,2011-01-17,EUR,1
AT0000A0U299,AT0000A0U299,OG-Security,2012-01-26,2062-01-26,3.8,1,2012-01-26,EUR,1
AT0000A0U3T4,AT0000A0U3T4,OG-Security,2012-01-26,2022-11-22,3.4,1,2012-01-26,EUR,1
AT0000A0VRQ6,AT0000A0VRQ6,OG-Security,2012-07-03,2044-06-20,3.15,1,2012-07-03,EUR,1
AT0000A105W3,AT0000A105W3,OG-Security,2013-04-17,2023-10-20,1.75,1,2013-04-17,EUR,1
AT0000A10683,AT0000A10683,OG-Security,2013-04-17,2034-05-23,2.4,1,2013-04-17,EUR,1
AT0000A185T1,AT0000A185T1,OG-Security,2014-06-04,2024-10-21,1.65,1,2014-06-04,EUR,1
AT0000A1FAP5,AT0000A1FAP5,OG-Security,2015-06-23,2025-10-20,1.2,1,2015-06-23,EUR,1
AT0000A1K9C8,AT0000A1K9C8,OG-Security,2016-02-23,2026-10-20,0.75,1,2016-02-23,EUR,1
AT0000A1K9F1,AT0000A1K9F1,OG-Security,2016-02-23,2047-02-20,1.5,1,2016-02-23,EUR,1
AT0000A1PE50,AT0000A1PE50,OG-Security,2016-11-02,2023-07-15,0,1,2016-11-02,EUR,1
AT0000A1PEF7,AT0000A1PEF7,OG-Security,2016-11-02,2086-11-02,1.5,1,2016-11-02,EUR,1
AT0000A1VGK0,AT0000A1VGK0,OG-Security,2017-04-20,2027-04-20,0.5,1,2017-04-20,EUR,1
AT0000A1ZGE4,AT0000A1ZGE4,OG-Security,2018-01-25,2028-02-20,0.75,1,2018-01-25,EUR,1
AT0000A269M8,AT0000A269M8,OG-Security,2019-02-05,2029-02-20,0.5,1,2019-02-05,EUR,1
AT0000A28KX7,AT0000A28KX7,OG-Security,2019-07-02,2024-07-15,0,1,2019-07-02,EUR,1
AT0000A2CQD2,AT0000A2CQD2,OG-Security,2020-02-05,2030-02-20,0,1,2020-02-05,EUR,1
BE0000291972,BE0000291972,OG-Security,1998-02-26,2028-03-28,5.5,1,1997-03-28,EUR,1
BE0000304130,BE0000304130,OG-Security,2004-05-19,2035-03-28,5,1,2004-05-19,EUR,1
BE0000318270,BE0000318270,OG-Security,2010-01-19,2020-09-28,3.75,1,2010-01-19,EUR,1
BE0000320292,BE0000320292,OG-Security,2010-04-21,2041-03-28,4.25,1,2010-04-21,EUR,1
BE0000321308,BE0000321308,OG-Security,2011-01-25,2021-09-28,4.25,1,2011-01-25,EUR,1
BE0000326356,BE0000326356,OG-Security,2012-03-21,2032-03-28,4,1,2012-03-21,EUR,1
BE0000331406,BE0000331406,OG-Security,2013-09-17,2045-06-22,3.75,1,2013-09-17,EUR,1
BE0000333428,BE0000333428,OG-Security,2014-03-18,2034-06-22,3,1,2014-03-18,EUR,1
BE0000334434,BE0000334434,OG-Security,2015-01-14,2025-06-22,0.8,1,2015-01-14,EUR,1
BE0000335449,BE0000335449,OG-Security,2015-02-17,2031-06-22,1,1,2015-02-17,EUR,1
BE0000336454,BE0000336454,OG-Security,2015-09-16,2038-06-22,1.9,1,2015-09-16,EUR,1
BE0000337460,BE0000337460,OG-Security,2016-01-20,2026-06-22,1,1,2016-01-20,EUR,1
BE0000338476,BE0000338476,OG-Security,2016-03-08,2047-06-22,1.6,1,2016-03-08,EUR,1
BE0000339482,BE0000339482,OG-Security,2016-05-06,2023-10-22,0.2,1,2016-05-06,EUR,1
BE0000340498,BE0000340498,OG-Security,2016-05-06,2066-06-22,2.15,1,2016-05-06,EUR,1
BE0000341504,BE0000341504,OG-Security,2017-01-24,2027-06-22,0.8,1,2017-01-24,EUR,1
BE0000343526,BE0000343526,OG-Security,2017-02-14,2057-06-22,2.25,1,2017-02-14,EUR,1
BE0000344532,BE0000344532,OG-Security,2017-05-31,2037-06-22,1.45,1,2017-05-31,EUR,1
BE0000346552,BE0000346552,OG-Security,2018-03-05,2033-04-22,1.25,1,2018-03-05,EUR,1
BE0000347568,BE0000347568,OG-Security,2019-01-15,2029-06-22,0.9,1,2019-01-15,EUR,1
BE0000348574,BE0000348574,OG-Security,2019-02-05,2050-06-22,1.7,1,2019-02-05,EUR,1
BE0000349580,BE0000349580,OG-Security,2020-01-22,2030-06-22,0.1,1,2020-01-22,EUR,1
BE0000350596,BE0000350596,OG-Security,2020-02-25,2040-06-22,0.4,1,2020-02-25,EUR,1
BE0000351602,BE0000351602,OG-Security,2020-04-07,2027-10-22,0,1,2020-04-07,EUR,1
BE0002272418,BE0002272418,OG-Security,2017-03-01,2022-03-01,0.75,1,2017-03-01,EUR,1
BE0002420926,BE0002420926,OG-Security,2012-11-30,2022-11-30,2.75,1,2012-11-30,EUR,1
BE0002443183,BE0002443183,OG-Security,2013-10-09,2023-10-09,2.875,1,2013-10-09,EUR,1
BE0002470459,BE0002470459,OG-Security,2014-05-07,2029-05-07,2.875,1,2014-05-07,EUR,1
BE0002602804,BE0002602804,OG-Security,2018-06-27,2023-06-27,0.875,1,2018-06-27,EUR,1
BE0002631126,BE0002631126,OG-Security,2019-01-25,2024-01-25,1.125,1,2019-01-25,EUR,1
BE0002645266,BE0002645266,OG-Security,2019-04-10,2025-04-10,0.625,1,2019-04-10,EUR,1
BE0312771430,BE0312771430,OG-Security,2019-07-11,2020-07-09,0,0,NULL,EUR,1
BE0312772446,BE0312772446,OG-Security,2019-09-12,2020-09-10,0,0,NULL,EUR,1
BE0974365976,BE0974365976,OG-Security,2020-06-16,2027-06-16,0.375,1,2020-06-16,EUR,1
BE6221503202,BE6221503202,OG-Security,2011-06-02,2021-06-02,4,1,2011-06-02,EUR,1
BE6228266902,BE6228266902,OG-Security,2011-11-08,2021-11-08,4.5,1,2011-11-08,EUR,1
BE6265141083,BE6265141083,OG-Security,2014-03-31,2021-09-30,1.95,1,2014-03-31,EUR,1
BE6276040431,BE6276040431,OG-Security,2015-04-20,2030-04-18,1.5,1,2015-04-20,EUR,1
BE6285452460,BE6285452460,OG-Security,2016-03-29,2022-03-17,0.875,1,2016-03-29,EUR,1
BE6285454482,BE6285454482,OG-Security,2016-03-29,2025-03-17,1.5,1,2016-03-29,EUR,1
BE6285457519,BE6285457519,OG-Security,2016-03-29,2036-03-17,2.75,1,2016-03-29,EUR,1
BE6286238561,BE6286238561,OG-Security,2016-04-26,2021-04-26,1,1,2016-04-26,EUR,1
BE6301510028,BE6301510028,OG-Security,2018-01-23,2027-01-22,1.15,1,2018-01-23,EUR,1
BE6312821612,BE6312821612,OG-Security,2019-03-29,2027-07-01,1.125,1,2019-03-29,EUR,1
BE6312822628,BE6312822628,OG-Security,2019-03-29,2031-03-28,1.65,1,2019-03-29,EUR,1
BE6320934266,BE6320934266,OG-Security,2020-04-02,2027-12-02,2.125,1,2020-04-02,EUR,1
BE6321076711,BE6321076711,OG-Security,2020-04-21,2027-04-21,1.625,1,2020-04-21,EUR,1
CH0236733827,CH0236733827,OG-Security,2014-02-13,2026-02-12,4.75,1,2014-02-13,EUR,1
CH0314209351,CH0314209351,OG-Security,2016-03-04,2024-03-04,2.125,1,2016-03-04,EUR,1
CH0336602930,CH0336602930,OG-Security,2016-09-01,2026-09-01,1.25,1,2016-09-01,EUR,1
CH0341440334,CH0341440334,OG-Security,2016-11-30,2024-11-30,1.5,1,2016-11-30,EUR,1
CH0343366842,CH0343366842,OG-Security,2017-07-17,2025-07-17,1.25,1,2017-07-17,EUR,1
