Strata Trade Type,Id Scheme,Id,Start Date,Convention,Buy Sell,Period To Start,Tenor,Notional,Fixed Rate
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,3M,1,-0.46
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,1Y,1,-0.48
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,2Y,1,-0.503
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,3Y,1,-0.504
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,4Y,1,-0.489
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,5Y,1,-0.464
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,6Y,1,-0.429
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,7Y,1,-0.391
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,8Y,1,-0.345
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,9Y,1,-0.302
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,10Y,1,-0.25
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,12Y,1,-0.1572
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,15Y,1,-0.0461
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,20Y,1,0.047
Swap,VAL,,2020-08-31,EUR-FIXED-1Y-EONIA-OIS,Sell,,30Y,1,0.042
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,3M,1,-0.477
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,1Y,1,-0.369
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,2Y,1,-0.436
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,3Y,1,-0.423
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,4Y,1,-0.398
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,5Y,1,-0.367
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,6Y,1,-0.329
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,7Y,1,-0.286
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,8Y,1,-0.241
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,9Y,1,-0.194
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,10Y,1,-0.145
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,12Y,1,-0.055
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,15Y,1,0.053
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,20Y,1,0.136
Swap,VAL,,2020-08-31,EUR-FIXED-6M-EURIBOR-3M,Sell,,30Y,1,0.114
