Strata Trade Type,Id Scheme,Id,Start Date,Convention,Buy Sell,Period To Start,Tenor,Notional,Fixed Rate
Swap,VAL,,20017-071-01,EUR-FIXED-ZC-EU-EXT-CPI-LAG10,Buy,,1Y,2186900,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,2Y,2359361,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,3Y,2720566,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,4Y,2836545,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,5Y,2844332,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,6Y,2775839,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,7Y,2724320,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,8Y,2712049,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,9Y,2829037,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,10Y,3026665,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,11Y,3223745,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,12Y,3412616,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,13Y,3582942,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,14Y,3679157,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,15Y,3819307,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,16Y,3846185,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,17Y,4015267,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,18Y,4135891,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI-LAG10,Buy,,19Y,4224325,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,20Y,4318192,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,21Y,4359033,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,22Y,4406710,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,23Y,4456287,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,24Y,4509405,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,25Y,4601146,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,26Y,4629364,2.1895
Swap,VAL,,20027-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,27Y,4636794,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,28Y,4633435,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,29Y,4610370,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,30Y,4558583,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,31Y,4505993,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,32Y,4422164,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,33Y,4295335,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,34Y,4186874,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,35Y,4039929,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,36Y,3883232,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,37Y,3729012,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,38Y,3561562,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,39Y,3392857,2.1895
Swap,VAL,,2007-07-01,EUR-FIXED-ZC-EU-EXT-CPI,Buy,,40Y,34203735,2.1895
