Strata Trade Type,Id Scheme,Id,Start Date,Convention,Buy Sell,Tenor,Notional,Fixed Rate
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,1Y,1,1.9543
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,2Y,1,1.566
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,3Y,1,1.473
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,4Y,1,1.449
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,5Y,1,1.455
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,6Y,1,1.458
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,7Y,1,1.465
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,8Y,1,1.473
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,9Y,1,1.481
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,10Y,1,1.4975
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,12Y,1,1.53
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,15Y,1,1.5975
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,18Y,1,1.639
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,20Y,1,1.666
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,25Y,1,1.7225
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,30Y,1,1.746
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,35Y,1,1.776
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,40Y,1,1.7838
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,45Y,1,1.815
Swap,VAL,,2021-03-31,EUR-FIXED-ZC-EU-EXT-CPI,Sell,50Y,1,1.8113
