Strata Trade Type,Id Scheme,Id,MALE,DATE_OF_BIRTH,EXPIRY_DATE,TARIF_ID,INV_ACC_GUAR,INV_ACC,INV_ACC_PROXY,INV_ACC_EXP_RATE,INV_ACC_EXP_RATE_GUAR,INV_ACC_RATE_GUAR,MORT_REST,CURRENCY
Policy,OG,520416006,False,1952-04-16,2021-03-30,221,6023.69,7518.58,5916.68,0.0133,0.0124,0.0125,90,EUR
Policy,OG,520418011,False,1952-04-18,2021-03-30,221,48316.86,58133.62,45192.83,0.0133,0.0124,0.0125,90,EUR
Policy,OG,520719002,False,1952-07-19,2022-11-30,220,14834.87,0,14940.3,0.0087,0,0.03,90,EUR
Policy,OG,521225006,True,1952-12-25,2020-11-30,220,19462.85,0,19777.31,0.0087,0,0.03,90,EUR
Policy,OG,530218004,False,1953-02-18,2021-09-30,221,75762.04,0,62447.05,0.0133,0,0.0125,90,EUR
Policy,OG,530223003,False,1953-02-23,2021-06-30,221,28961.6,34785.92,24105.27,0.0133,0.0124863127092801,0.0125,90,EUR
Policy,OG,530521005,False,1953-05-21,2020-08-30,220,120433.11,0,122023.93,0.0087,0,0.03,90,EUR
Policy,OG,530904006,False,1953-09-04,2020-08-30,221,4660.55,5789.14,4464.98,0.0133,0.0124,0.0125,90,EUR
Policy,OG,530908007,False,1953-09-08,2020-08-30,221,6805.4,0,6153.51,0.0133,0,0.0125,90,EUR
Policy,OG,530924006,False,1953-09-24,2020-08-30,221,19496.75,0,18411.02,0.0133,0,0.0125,90,EUR
Policy,OG,531008001,True,1953-10-08,2021-02-28,220,7657.92,0,8711.16,0.0087,0,0.03,0,EUR
Policy,OG,531127006,False,1953-11-27,2021-02-28,220,3449.63,0,3495.64,0.0087,0,0.03,90,EUR
Policy,OG,531127007,False,1953-11-27,2021-02-28,221,8741.11,0,6761.22,0.0133,0,0.0125,90,EUR
Policy,OG,531212004,False,1953-12-12,2021-04-30,220,3942.91,0,3945.37,0.0087,0,0.03,90,EUR
Policy,OG,531223005,True,1953-12-23,2021-03-30,220,11020.61,0,11415.33,0.0087,0,0.03,0,EUR
Policy,OG,531226007,False,1953-12-26,2021-03-30,220,24441.31,0,24177.51,0.0087,0,0.03,90,EUR
Policy,OG,540103003,True,1954-01-03,2021-04-30,220,30131.63,0,31297.13,0.0087,0,0.03,90,EUR
Policy,OG,540105004,True,1954-01-05,2021-05-30,221,847.36,3607.94,762.37,0.0133,0.0104794816432646,0.0125,90,EUR
Policy,OG,540205005,False,1954-02-05,2024-01-30,221,74966.93,169722.95,61510.1,0.0133,0.0124468292001759,0.0125,90,EUR
Policy,OG,540210004,False,1954-02-10,2021-03-30,220,70756.59,233.69,78296.43,0.0087,0.0045,0.03,0,EUR
Policy,OG,540217003,False,1954-02-17,2025-04-30,221,231615.78,48951.26,210278.35,0.0133,0.0124,0.0125,90,EUR
Policy,OG,540225002,False,1954-02-25,2021-03-30,221,2474.44,2831.05,2101.24,0.0133,0.0124,0.0125,90,EUR
Policy,OG,540306001,True,1954-03-06,2021-02-28,220,34705.98,0,35565.21,0.0087,0,0.03,90,EUR
Policy,OG,540311001,True,1954-03-11,2021-07-30,220,6373.27,0,9349.93,0.0087,0,0.03,90,EUR
Policy,OG,540312004,True,1954-03-12,2021-06-30,220,51482.65,0,53999.88,0.0087,0,0.03,0,EUR
