Id,Strata Trade Type,Id Scheme,Trade Date,Start Date,End Date,Convention,Buy Sell,Notional,Fixed Rate,Price,PV,Quantity
CCPI14013118,Swap,OG,2020-05-27,2021-06-01,2027-06-01,EUR-FIXED-1Y-EURIBOR-6M,Buy,-2.75e+08,-0.1988,101.888822125,-1974363.56999999,1
CCPI14013119,Swap,OG,2020-05-27,2021-06-01,2025-06-02,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1.5e+08,-0.2603,101.320280788,-695776.659999996,1
CCPI14013122,Swap,OG,2020-05-27,2021-06-11,2040-06-11,EUR-FIXED-1Y-EURIBOR-6M,Sell,8e+07,1.7,136.166119752,26987613.59,1
CCPI14013124,Swap,OG,2020-05-26,2021-06-15,2035-06-15,EUR-FIXED-1Y-EURIBOR-6M,Sell,5e+07,1.75,129.210766294,13588165.64,1
CCPI14013125,Swap,OG,2020-05-26,2021-06-17,2035-06-18,EUR-FIXED-1Y-EURIBOR-6M,Sell,5.5e+07,1.59,126.765464197,13607567.57,1
CCPI14013126,Swap,OG,2020-05-26,2021-06-14,2030-06-12,EUR-FIXED-1Y-EURIBOR-6M,Sell,7.3e+07,1.635,120.227883655,13619666.15,1
CCPI14013216,Swap,OG,2020-06-18,2021-06-23,2030-06-24,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1.35e+08,-0.1438,102.07769991,-705430.549999982,1
IR211311_1,Swap,OG,2018-03-08,2018-03-08,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-5331309.16,2.5,132.124532865,-1500695.21,1
IR211311_10,Swap,OG,2018-09-07,2018-09-07,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-1187712.09,2.5,132.117837864,-334254.03,1
IR211311_11,Swap,OG,2018-09-24,2018-09-24,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-3875692.09,2.5,132.117837864,-1090723.7,1
IR211311_12,Swap,OG,2019-01-04,2019-01-04,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-2027147.7,2.5,132.117837864,-570493.73,1
IR211311_13,Swap,OG,2019-01-10,2019-01-10,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-4134666.9,2.5,132.117837864,-1163606.15,1
IR211311_14,Swap,OG,2019-03-27,2019-03-27,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-4402571.89,2.5,132.117837864,-1239001.81,1
IR211311_15,Swap,OG,2019-04-12,2019-04-12,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-4554384.71,2.5,132.117837864,-1281726.01,1
IR211311_2,Swap,OG,2018-03-16,2018-03-16,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-5554563.31,2.5,132.124532865,-1563538.39,1
IR211311_3,Swap,OG,2018-03-23,2018-03-23,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-4215038.4,2.5,132.131227854,-1186733.74,1
IR211311_4,Swap,OG,2018-03-23,2018-03-23,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-6965529.56,2.5,132.131227854,-1961127.8,1
IR211311_5,Swap,OG,2018-03-27,2018-03-27,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-2000357.21,2.5,132.117837864,-562954.17,1
IR211311_6,Swap,OG,2018-03-29,2018-03-29,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-6304697.27,2.5,132.117837864,-1774310.9,1
IR211311_7,Swap,OG,2018-04-25,2018-04-25,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-214323.99,2.5,132.117837864,-60316.52,1
IR211311_8,Swap,OG,2018-05-24,2018-05-24,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-6947669.23,2.5,132.117837864,-1955260.46,1
IR211311_9,Swap,OG,2018-08-13,2018-08-13,2038-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-4875870.69,2.5,132.117837864,-1372200.79,1
IR211343_3,Swap,OG,2018-12-06,2018-12-06,2025-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-39158778.35,2,109.077345033,-3133948.89,1
IR211343_4,Swap,OG,2019-01-14,2019-01-14,2025-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-10064297.2,2,109.077345033,-805464.17,1
IR211343_5,Swap,OG,2019-01-17,2019-01-17,2025-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-9948205.04,2,109.088009054,-797104.200000001,1
IR211344,Swap,OG,2018-03-07,2018-03-07,2028-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-8948026.43,2.25,115.180676691,-1199445.61,1
IR211344_1,Swap,OG,2018-03-08,2018-03-08,2028-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-6126093.95,2.25,115.180676691,-821177.34,1
IR211345_1,Swap,OG,2018-03-08,2018-03-08,2048-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-7671012.68,2.5,146.639033283,-3122962.35,1
IR211345_3,Swap,OG,2019-04-08,2019-04-08,2048-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-1589569.57,2.5,146.632367154,-647037.31,1
IR211360_16,Swap,OG,2018-12-24,2018-12-24,2023-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-11546704.77,2,105.442552275,-556628.310000001,1
IR211360_17,Swap,OG,2019-02-11,2019-02-11,2023-03-21,USD-FIXED-6M-LIBOR-3M,Buy,-18949812.47,2,105.442552275,-913507.550000001,1
IR211378_1,Swap,OG,2018-03-12,2018-03-12,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-16377924.63,2.5,146.745478277,-6675790.36,1
IR211378_10,Swap,OG,2018-04-25,2018-04-25,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-7412037.86,2.5,146.73881204,-3020937.88,1
IR211378_11,Swap,OG,2018-05-04,2018-05-04,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-4840150.03,2.5,146.73881204,-1972708.83,1
IR211378_12,Swap,OG,2018-05-21,2018-05-21,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-1821753.88,2.5,146.73881204,-742495.58,1
IR211378_13,Swap,OG,2018-06-04,2018-06-04,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-1098410.43,2.5,146.73881204,-447681.16,1
IR211378_14,Swap,OG,2018-06-18,2018-06-18,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-509019.47,2.5,146.73881204,-207462,1
IR211378_16,Swap,OG,2018-08-13,2018-08-13,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-2312913.02,2.5,146.73881204,-942678.2,1
IR211378_17,Swap,OG,2019-03-07,2019-03-07,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-464368.64,2.5,146.738810121,-189264.17,1
IR211378_2,Swap,OG,2018-03-12,2018-03-12,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-4715127.7,2.5,146.745478277,-1921928.73,1
IR211378_3,Swap,OG,2018-03-14,2018-03-14,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-3143418.47,2.5,146.745478277,-1281285.83,1
IR211378_4,Swap,OG,2018-03-16,2018-03-16,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-2813002.32,2.5,146.745478277,-1146605.21,1
IR211378_5,Swap,OG,2018-03-23,2018-03-23,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-776924.45,2.5,146.752144511,-316710.36,1
IR211378_6,Swap,OG,2018-03-23,2018-03-23,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-2973745.31,2.5,146.752144511,-1212236.19,1
IR211378_7,Swap,OG,2018-03-28,2018-03-28,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-2000357.21,2.5,146.73881204,-815289.26,1
IR211378_8,Swap,OG,2018-03-29,2018-03-29,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-1160921.59,2.5,146.73881204,-473158.95,1
IR211378_9,Swap,OG,2018-03-21,2018-03-21,2048-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-946597.61,2.5,146.73881204,-385806.53,1
IR211379,Swap,OG,2018-03-09,2018-03-09,2038-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-142882.66,2.5,132.2323668,-40292.56,1
IR211379_1,Swap,OG,2018-03-12,2018-03-12,2038-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-34398999.82,2.5,132.2323668,-9700432.66999999,1
IR211379_2,Swap,OG,2018-03-12,2018-03-12,2038-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-3384532.95,2.5,132.2323668,-954429.9,1
IR211379_3,Swap,OG,2018-03-21,2018-03-21,2038-04-20,USD-FIXED-6M-LIBOR-3M,Buy,-1303804.25,2.5,132.225671709,-367620.88,1
