Strata Trade Type,Id Scheme,Id,Start Date,Convention,Buy Sell,Period To Start,Tenor,Notional,Fixed Rate
Swap,VAL,IRS-9M - 9M,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,9M,1,-0.53239999999999998
Swap,VAL,IRS-1Y - 1Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,1Y,1,-0.52180000000000004
Swap,VAL,IRS-2Y - 2Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,2Y,1,-0.50329999999999997
Swap,VAL,IRS-3Y - 3Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,3Y,1,-0.45669999999999999
Swap,VAL,IRS-4Y - 4Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,4Y,1,-0.39439999999999997
Swap,VAL,IRS-5Y - 5Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,5Y,1,-0.32200000000000001
Swap,VAL,IRS-6Y - 6Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,6Y,1,-0.24340000000000001
Swap,VAL,IRS-7Y - 7Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,7Y,1,-0.1628
Swap,VAL,IRS-8Y - 8Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,8Y,1,-8.48E-2
Swap,VAL,IRS-9Y - 9Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,9Y,1,-8.2000000000000007E-3
Swap,VAL,IRS-10Y - 10Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,10Y,1,6.6900000000000001E-2
Swap,VAL,IRS-11Y - 11Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,11Y,1,0.13139999999999999
Swap,VAL,IRS-12Y - 12Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,12Y,1,0.19239999999999999
Swap,VAL,IRS-15Y - 15Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,15Y,1,0.33839999999999998
Swap,VAL,IRS-20Y - 20Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,20Y,1,0.46150000000000002
Swap,VAL,IRS-25Y - 25Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,25Y,1,0.49099999999999999
Swap,VAL,IRS-30Y - 30Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,30Y,1,0.48370000000000002
Swap,VAL,IRS-35Y - 35Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,35Y,1,0.46600000000000003
Swap,VAL,IRS-40Y - 40Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,40Y,1,0.4466
Swap,VAL,IRS-45Y - 45Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,45Y,1,0.433
Swap,VAL,IRS-50Y - 50Y,2021-04-02,EUR-FIXED-1Y-EURIBOR-6M,Sell,,50Y,1,0.40489999999999998

